id,year,title,imprint,author,langname,glottolog_langname,subclass,glottocode,area,langfamily,affiliation,longitude,latitude,population,subsistence,doreco,oclc,lcc,access,url,rights,copyright
pacific.areare_geerts_area1240,1970,Are'are Dictionary,"Pacific Linguistics, The Australian National University",P. Geerts,'Are'are,'Are'are,x-english,area1240,Papunesia,Austronesian,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Southeast Solomonic, Longgu-Malaita-Makira, Malaita-Makira, Malaita, Southern Malaita",161.158,-9.20699,17900,other,NA,NA,NA,pdf,https://openresearch-repository.anu.edu.au/bitstream/1885/146434/1/PL-C14.pdf,NA,Copyright © author/authors
uva.x000832923,1980,"Abuan-English, English-Abuan dictionary / compiled by Ian Gardner.","University of Port Harcourt : Nigeria Bible Translation Trust, 1980.",NA,Abua,Abua,x-english (and english-x),abua1244,Africa,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Delta Cross, Central Delta, Abua-Odual",6.61492,4.83057,25000,other,NA,214558e10,NA,deny,NA,ic,NA
mdp.39015029444596,1992,Aḋṅa-mat̂-n̂a-English dictionary / John McEntee and Pearl McKenzie.,"[J.C. McEntee], 1992.",NA,Adnyamathanha,Adnyamathanha,x-english (and english-x),adny1235,Australia,Pama-Nyungan,"Pama-Nyungan, Arandic-Thura-Yura, Thura-Yura, Core Thura Yura, Northern Thura-Yura",138.671,-30.1451,130,hunter-gatherer,NA,1179190096,NA,deny,NA,ic,NA
mdp.39015019142010,1854,A dictionary of the Circassian language.,"George Bell, 1854.",NA,Adyghe,Adyghe,x-english (and english-x),adyg1241,Eurasia,Abkhaz-Adyge,"Abkhaz-Adyge, Circassian",39.33,44,475300,other,NA,67169933,NA,allow,NA,pd,NA
inu.30000035077324,1984,"Dictionary Coetzee woordeboek : Afrikaans-Engels, Engels-Afrikaans : pronouncing dictionary containing over 35,000 entries : uitspraak woordebock met oor 35,000 inskrywings.","Shuter and Shooter, 1984.",NA,Afrikaans,Afrikaans,x-english (and english-x),afri1274,Africa,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, Macro-Dutch, Middle-Modern Dutch, Modern Dutch, Global Dutch, Afrikaansic",30,-22,4849900,other,NA,226705683,NA,deny,NA,ic,NA
uc1.b5406266,1995,"Drukkerswoordeboek : English-Afrikaans, Afrikaans-English / saamgestel deur die Nasionale Terminologiediens, Departement van Kuns, Kultuur, Wetenskap en Tegnologie = Printing dictionary : English-Afrikaans, Afrikaans-English / compiled by the National Terminology Services, Department of Arts, Culture, Science and Technology.","G.P.-S, 1995.",NA,Afrikaans,Afrikaans,x-english (and english-x),afri1274,Africa,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, Macro-Dutch, Middle-Modern Dutch, Modern Dutch, Global Dutch, Afrikaansic",30,-22,4849900,other,NA,36051425,96206167,deny,NA,ic,NA
inu.39000002839145,1976,Handige woordeboek : Afrikaans-Engels = Handy dictionary : English-Afrikaans / M. S. B. Kritzinger.,"J. L. van Schaik, 1976.",NA,Afrikaans,Afrikaans,x-english (and english-x),afri1274,Africa,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, Macro-Dutch, Middle-Modern Dutch, Modern Dutch, Global Dutch, Afrikaansic",30,-22,4849900,other,NA,3139560,NA,deny,NA,ic,NA
mdp.39015001707143,1986,"Juta se sakwoordeboek = Pocket dictionary : Afrikaans-engels, English-Afrikaans : (according to the latest spelling of the S.A. Akademie).","Juta, [1981].",NA,Afrikaans,Afrikaans,x-english (and english-x),afri1274,Africa,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, Macro-Dutch, Middle-Modern Dutch, Modern Dutch, Global Dutch, Afrikaansic",30,-22,4849900,other,NA,13454710,44024352,deny,NA,ic,NA
inu.30000093654592,2004,"Mini dictionary : English-Afrikaans, Afrikaans-English / Jan Kromhout, M.S.B. Kritzinger = Miniwoordeboek / Jan Kromhout, M.S.B. Kritzinger.","Pharos, 2004.",NA,Afrikaans,Afrikaans,x-english (and english-x),afri1274,Africa,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, Macro-Dutch, Middle-Modern Dutch, Modern Dutch, Global Dutch, Afrikaansic",30,-22,4849900,other,NA,56806086,2005423833,deny,NA,ic,NA
mdp.39015058005367,1966,"Nuwe praktiese woordeboek, Engels-Afrikaans, Afrikaans-Engels = New practical dictionary, English-Afrikaans, Afrikaans-English / deur H. J. Terblanche.","Afrikaanse Pers-Boekhandel, 1966.",NA,Afrikaans,Afrikaans,x-english (and english-x),afri1274,Africa,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, Macro-Dutch, Middle-Modern Dutch, Modern Dutch, Global Dutch, Afrikaansic",30,-22,4849900,other,NA,2413507,78341139,deny,NA,ic,NA
