glottocode,longitude,latitude,avgmonth_wnd,minmonth_wnd,maxmonth_wnd
area1240,161.158,-9.20699,1.1666666666666667,1,1.4000000000000001
abua1244,6.61492,4.83057,2.225,1.8,2.5
adny1235,138.671,-30.1451,3.4333333333333336,2.5,4.3
adyg1241,39.33,44,3.1083333333333334,2.5,3.8000000000000003
afri1276,-1,53,4.458333333333333,3.9,5.1000000000000005
afri1274,30,-22,2.2666666666666666,1.5,3.1
agus1235,125.742,8.62731,1.475,1.3,1.7
ahte1237,215.111,61.7068,3.45,2.6,4.2
akan1250,-1.33254,6.34756,1.1333333333333333,0.8,1.4000000000000001
akaw1239,299.138,6.16277,2.1166666666666667,1.7,2.7
akha1245,100.964,21.2309,1.3583333333333334,1.2,1.7
akka1240,44.1,33.1,3.291666666666667,2.5,4.4
alab1237,265.37152000000003,30.76738,4.125,3.2,5
aleu1260,185.71,52.1228,3.466666666666667,3,4
amha1245,39.543456,11.708182,1.7833333333333334,1.6,2.1
anci1244,35.1725,31.7761,3.0583333333333336,2.4,3.5
anda1287,-5.2,36.54,4.775,4.4,5.3
anei1239,169.825,-20.1864,3.425,3.1,3.6
angg1239,139.457,-4.0836,2.3666666666666667,2,2.6
anma1239,133.286,-22.2853,3.341666666666667,2.8000000000000003,3.8000000000000003
anti1245,298.178137,17.068263,5.783333333333333,4.6000000000000005,6.8
anuf1239,0.56021,10.2839,1.5,1,2.1
aona1235,94.3824,26.3241,1.3083333333333333,0.9,2.1
arap1274,251.19,43.3879,3.8333333333333335,3.6,4.3
arik1262,260,45,4.991666666666667,4.5,5.8
arom1237,21.2,40.616,1.5916666666666668,1.3,1.9000000000000001
aros1241,161.432,-10.2441,1.4416666666666667,1.3,1.6
arta1239,121.656,16.4185,2.091666666666667,1.8,2.3000000000000003
assa1263,91.2932,26.0876,1.1166666666666667,0.7000000000000001,1.9000000000000001
assy1241,43,36.75,1.7750000000000001,1.3,2.2
ataa1240,122.9,9.715,2.533333333333333,1.7,3.7
atak1252,266.9173,30.9121,3.95,2.9,4.8
atay1247,121.388,24.5209,4.55,3.8000000000000003,5.5
aves1237,62.112,34.217,3.25,2.5,5
awap1236,145.714,-6.65534,3.7666666666666666,3.2,4.3
baba1267,103.076,1.75414,2.1750000000000003,1.7,3.3000000000000003
bada1257,76.5974,11.3094,3.091666666666667,2.4,3.8000000000000003
bafa1249,10.4518,5.84612,1.6166666666666667,1.3,2
bali1278,115.075,-8.35714,3.2583333333333333,2.7,3.7
bamb1269,-7.65,12.9,2.3833333333333333,1.6,2.9
bant1281,87.04738,27.12147,1.0166666666666666,0.5,1.5
bara1370,114.482,3.51211,1.5416666666666667,1.4000000000000001,1.7
bard1255,122.906,-16.6274,3.5500000000000003,2.5,4.4
basq1248,-1.31622,43.2787,3.575,3,4.1
nucl1418,-11.543,7.27501,2.875,2.3000000000000003,3.3000000000000003
bata1298,121.23,16.8266,2.216666666666667,2.1,2.3000000000000003
bayu1240,114.108,-23.3809,4.833333333333333,3.5,5.9
beij1234,116.1172766,39.9385466,2.6,1.8,3.5
beja1238,36.6666,17.2436,2.2666666666666666,2,2.8000000000000003
bela1256,27.8232,6.6503,1.4666666666666668,1.3,1.6
bela1254,25.6038,53.2307,3.6416666666666666,2.9,4.3
beli1257,29.7954,6.40428,2.166666666666667,2,2.3000000000000003
bell1243,233.311,52.3448,3.5583333333333336,2.8000000000000003,4.2
bemb1257,29.2993,-10.6122,1.625,1.1,2.2
beng1286,-4.23539,7.78122,0.9833333333333334,0.8,1.1
beng1280,90,24,1.4166666666666667,0.9,2.1
bero1242,8.81221,9.67037,3.6833333333333336,3,4
besi1244,101.676,2.717,1.575,1.4000000000000001,1.9000000000000001
biat1246,110.254,1.17596,1.3916666666666666,1.2,1.7
bini1246,5.70426,6.40701,2.0166666666666666,1.5,2.4
bisl1239,166.89,-15.4,2.7583333333333333,2.5,2.9
bang1354,17.227,-0.87437,0.6583333333333333,0.5,0.8
bodo1269,92,26.1,1.05,0.7000000000000001,1.9000000000000001
boko1266,3.71771,10.5189,2.041666666666667,1.5,2.8000000000000003
boko1267,3.80058,9.52724,1.9833333333333334,1.6,2.7
chim1302,281.1479,-1.36727,3.9333333333333336,3.5,4.4
bond1245,83.8141,19.1512,2.7583333333333333,1.9000000000000001,3.9
bong1285,27.9918,7.4145,1.3833333333333333,1.2,1.5
bora1271,37.882,1.05676,3.8083333333333336,3.1,4.7
bord1248,282.8336,7.92993,3.225,2.4,3.9
braz1246,-8.1,39.91,3.7083333333333335,3.2,4.1
bret1244,-3.78934,48.2452,4.716666666666667,4.1,5.2
bugh1239,159.802,-8.47948,0.9916666666666667,0.8,1.2
bulg1262,25.047,43.3646,2.1333333333333333,1.7,2.6
buli1254,-1.26748,10.5763,1.1833333333333333,0.8,1.5
nucl1310,93.9665,20.7926,1.4666666666666668,1,2
busa1253,4.39929,9.91074,1.9416666666666667,1.5,2.6
cahu1264,243.309,33.5324,3.925,3.4,4.5
caju1236,268.3867,29.6869,3.8583333333333334,2.8000000000000003,4.7
calo1236,0.6,41.424,3.416666666666667,2.9,3.9
cari1275,304.666832,5.722918,1.4583333333333335,1.2,1.7
caro1242,145.765,15.205,3.541666666666667,3,3.9
casi1235,121.878,16.2176,2.1750000000000003,1.9000000000000001,2.4
stan1289,1.569,41.453,3.625,3.1,4.1
cayu1262,294.51779999999997,-13.2482,2.941666666666667,2.4,3.5
cebu1242,124.367,8.38799,1.2416666666666667,1.1,1.4000000000000001
cent2127,198.514,60.3062,5.908333333333333,5.2,6.8
cent2292,120.92,17.08,2.5083333333333333,2.4,2.7
carr1249,235.672,54.3768,2.1750000000000003,1.8,2.5
sout2789,-2.52265,10.4226,1.3833333333333333,1.1,1.6
cent2050,13.13,11.8,2.75,2.3000000000000003,3.1
cent1989,105.015,12.0515,2.25,1.7,2.4
cent1972,45.8077,35.6539,2.041666666666667,1.5,2.5
mala1479,103,1.85856,2.191666666666667,1.7,3.4
cent1990,93.3921,7.94812,3.2,2.5,4.5
cent1973,69.4529,31.9153,1.5666666666666667,1.2,1.8
cent2128,189.728,63.4308,4.975,4.1,5.9
cent2131,252.846,27.5648,3.2083333333333335,2.8000000000000003,3.8000000000000003
chad1249,13.5,14.67,3.033333333333333,2.7,3.2
cham1312,144.74474,13.438011,3.2666666666666666,2.8000000000000003,3.5
chan1313,94.9536,26.4336,1.3833333333333333,0.9,2.1
