glottocode,word,sum_count,glottolog_langname
stan1295,die,1484955,German
stan1290,des,340406,French
stan1290,est,242087,French
stan1295,von,234872,German
stan1295,den,223970,German
stan1288,con,194866,Spanish
stan1290,par,174473,French
stan1290,pour,171327,French
stan1288,una,148729,Spanish
lati1261,est,135352,Latin
stan1295,und,133058,German
stan1290,son,131880,French
stan1295,man,106906,German
stan1295,des,101189,German
stan1295,was,98816,German
stan1288,para,98416,Spanish
dutc1256,van,90239,Dutch
stan1295,put,86017,German
ital1282,che,85096,Italian
stan1290,part,75843,French
stan1295,hat,74206,German
stan1290,are,73429,French
stan1290,man,70680,French
stan1290,put,69881,French
ital1282,una,65951,Italian
lati1261,are,61514,Latin
mand1415,take,60959,Mandarin Chinese
stan1290,point,60855,French
mand1415,man,60224,Mandarin Chinese
stan1288,sin,58220,Spanish
stan1290,has,57178,French
stan1295,will,55009,German
nucl1643,are,54366,Japanese
nucl1643,make,54118,Japanese
stan1290,place,54081,French
port1283,com,53776,Portuguese
stan1290,action,53021,French
mand1415,good,51862,Mandarin Chinese
mand1415,can,50088,Mandarin Chinese
stan1290,coup,49874,French
stan1295,like,49464,German
ital1282,con,48787,Italian
afri1274,die,48479,Afrikaans
stan1290,air,46876,French
stan1295,ing,46533,German
stan1290,like,46299,French
dutc1256,met,46255,Dutch
stan1290,grand,45966,French
scot1243,see,44746,Scots
stan1295,bet,44652,German
nucl1643,man,44411,Japanese
nucl1643,take,44406,Japanese
stan1290,set,44386,French
stan1295,war,44119,German
stan1295,gut,44002,German
stan1290,temps,42935,French
mand1415,ing,42120,Mandarin Chinese
mand1415,like,41650,Mandarin Chinese
stan1290,chose,41495,French
stan1290,long,40720,French
mand1415,work,40626,Mandarin Chinese
mand1415,give,40317,Mandarin Chinese
stan1295,fall,39222,German
stan1288,ser,38417,Spanish
stan1290,lit,38192,French
lati1261,pro,38115,Latin
stan1295,form,37711,German
lati1261,place,37638,Latin
stan1288,are,37403,Spanish
port1283,para,35725,Portuguese
stan1290,fin,35672,French
mand1415,get,35529,Mandarin Chinese
viet1252,con,34778,Vietnamese
stan1290,main,34414,French
ital1282,fare,34392,Italian
stan1295,stand,34303,German
lati1261,time,34275,Latin
stan1290,mon,34243,French
stan1288,place,33693,Spanish
stan1290,ship,33375,French
stan1288,man,32073,Spanish
stan1288,put,31952,Spanish
stan1290,fort,31496,French
stan1290,force,31319,French
stan1290,table,31305,French
stan1288,persona,30967,Spanish
stan1290,water,30593,French
mand1415,long,30457,Mandarin Chinese
mand1415,chi,30446,Mandarin Chinese
stan1288,like,30241,Spanish
stan1290,house,30050,French
stan1290,passer,30037,French
stan1290,look,29983,French
stan1290,dire,29929,French
stan1290,face,29857,French
stan1288,time,29530,Spanish
mand1415,form,29158,Mandarin Chinese
stan1295,end,29050,German
stan1290,ing,28421,French
stan1290,vie,28412,French
dutc1256,ing,28166,Dutch
stan1290,let,28111,French
nucl1643,come,27807,Japanese
lati1261,hoc,27711,Latin
lati1261,have,27611,Latin
stan1288,was,27319,Spanish
stan1295,bring,27305,German
stan1295,order,27175,German
mand1415,mind,27049,Mandarin Chinese
wels1247,pen,26719,Welsh
stan1290,hand,26484,French
stan1290,art,26193,French
stan1290,ment,26180,French
mand1415,house,26112,Mandarin Chinese
mand1415,fit,25934,Mandarin Chinese
lati1261,sum,25711,Latin
stan1290,vent,25594,French
mand1415,high,25451,Mandarin Chinese
stan1290,train,25421,French
mand1415,set,25419,Mandarin Chinese
mand1415,part,25295,Mandarin Chinese
stan1290,service,25145,French
stan1290,machine,25137,French
stan1290,french,24940,French
dutc1256,den,24885,Dutch
stan1288,has,24810,Spanish
stan1290,full,24778,French
stan1290,life,24768,French
stan1290,nature,24375,French
viet1252,hay,24360,Vietnamese
mand1415,keep,24091,Mandarin Chinese
stan1290,light,24029,French
stan1290,style,23871,French
scot1243,was,23835,Scots
lati1261,sense,23831,Latin
lati1261,quo,23769,Latin
ital1282,come,23670,Italian
stan1295,high,23606,German
stan1295,pass,23565,German
swed1254,med,23412,Swedish
stan1295,bar,23408,German
mand1415,look,23405,Mandarin Chinese
stan1290,corps,23219,French
ital1282,della,23156,Italian
afri1274,van,22999,Afrikaans
stan1295,matter,22930,German
stan1290,round,22763,French
stan1290,use,22763,French
stan1295,bin,22757,German
stan1290,break,22637,French
lati1261,sit,22617,Latin
stan1290,people,22559,French
stan1290,woman,22478,French
scot1245,air,22412,Scottish Gaelic
stan1290,court,22364,French
stan1295,hold,22294,German
stan1288,come,22292,Spanish
nucl1643,new,22283,Japanese
mand1415,book,22152,Mandarin Chinese
mand1415,men,21815,Mandarin Chinese
ital1282,are,21614,Italian
stan1295,fit,21525,German
stan1290,porter,21475,French
stan1295,power,21450,German
stan1290,cause,21251,French
stan1290,car,21203,French
stan1290,open,21168,French
lati1261,made,21029,Latin
wels1247,ion,21009,Welsh
stan1290,stand,20832,French
stan1290,sort,20747,French
stan1290,public,20626,French
stan1290,pain,20409,French
mand1415,face,20289,Mandarin Chinese
stan1290,charge,20266,French
stan1290,change,20211,French
mand1415,hold,20155,Mandarin Chinese
stan1295,red,20149,German
stan1290,question,20130,French
stan1290,large,20106,French
mand1415,cut,20087,Mandarin Chinese
stan1290,tour,19975,French
stan1290,bout,19837,French
stan1290,lie,19685,French
stan1290,petite,19586,French
stan1295,wild,19554,German
stan1290,lever,19448,French
stan1290,pop,19405,French
stan1290,animal,19383,French
stan1295,trade,19358,German
stan1290,hard,19333,French
stan1295,tag,19287,German
lati1261,met,19174,Latin
stan1290,fond,19149,French
stan1295,new,19064,German
mand1415,point,19004,Mandarin Chinese
stan1290,plant,18986,French
stan1290,business,18897,French
stan1295,ion,18874,German
stan1290,ton,18858,French
mand1415,heart,18838,Mandarin Chinese
stan1295,age,18688,German
port1283,hum,18308,Portuguese
mand1415,play,18142,Mandarin Chinese
stan1295,bat,17978,German
stan1290,fit,17971,French
stan1290,double,17952,French
lati1261,ire,17916,Latin
stan1290,port,17889,French
mand1415,round,17796,Mandarin Chinese
stan1290,land,17678,French
stan1295,tion,17647,German
lati1261,has,17565,Latin
stan1295,ring,17462,German
stan1295,arm,17436,German
stan1295,post,17368,German
stan1290,fruit,17342,French
stan1290,show,17337,French
stan1290,office,17328,French
port1283,make,17316,Portuguese
lati1261,set,17315,Latin
stan1288,can,17308,Spanish
stan1295,live,17265,German
stan1295,cover,17256,German
stan1290,short,17084,French
stan1295,top,17039,German
mand1415,show,16991,Mandarin Chinese
nucl1643,made,16986,Japanese
lati1261,rare,16930,Latin
stan1295,plant,16911,German
lati1261,ego,16815,Latin
kawi1241,tan,16756,Kawi
poli1260,fig,16629,Polish
stan1290,opinion,16627,French
stan1295,gang,16563,German
stan1288,set,16488,Spanish
stan1288,ing,16473,Spanish
stan1290,premier,16425,French
stan1290,close,16288,French
stan1295,gram,16255,German
stan1290,country,16250,French
stan1295,fallen,16208,German
viet1252,tin,16149,Vietnamese
stan1288,house,16114,Spanish
stan1290,note,16078,French
stan1290,case,16058,French
stan1290,pays,16023,French
mand1415,short,15950,Mandarin Chinese
stan1290,fine,15780,French
mand1415,fan,15743,Mandarin Chinese
roma1327,are,15618,Romanian
mand1415,run,15595,Mandarin Chinese
stan1288,ship,15593,Spanish
stan1288,sea,15386,Spanish
stan1290,rail,15329,French
stan1290,beau,15321,French
mand1415,case,15298,Mandarin Chinese
stan1290,live,15214,French
stan1290,tion,15187,French
scot1243,person,15109,Scots
stan1290,faux,15092,French
mand1415,sun,15049,Mandarin Chinese
stan1288,full,15038,Spanish
stan1290,route,15009,French
stan1290,second,14934,French
stan1295,band,14934,German
stan1288,fin,14927,Spanish
lati1261,sub,14907,Latin
port1283,item,14899,Portuguese
stan1288,des,14876,Spanish
stan1290,plan,14834,French
lati1261,come,14775,Latin
stan1288,color,14721,Spanish
stan1290,matter,14713,French
stan1290,must,14590,French
stan1295,wall,14546,German
mand1415,talk,14542,Mandarin Chinese
stan1290,coin,14504,French
stan1288,sus,14378,Spanish
stan1295,press,14334,German
stan1290,moment,14230,French
stan1290,encore,14217,French
stan1290,mark,14202,French
lati1261,men,14195,Latin
stan1288,light,14146,Spanish
scot1243,are,14088,Scots
mand1415,common,14086,Mandarin Chinese
mand1415,pass,14085,Mandarin Chinese
stan1288,animal,14043,Spanish
mand1415,present,13915,Mandarin Chinese
stan1290,ant,13885,French
stan1288,face,13856,Spanish
stan1290,game,13659,French
stan1288,play,13628,Spanish
stan1290,trouble,13621,French
viet1252,can,13606,Vietnamese
lati1261,ace,13542,Latin
stan1290,stop,13457,French
dani1285,til,13410,Danish
stan1290,fortune,13386,French
stan1290,secret,13383,French
mand1415,party,13378,Mandarin Chinese
stan1290,top,13357,French
stan1290,situation,13352,French
stan1295,plan,13344,German
stan1290,hors,13341,French
stan1290,police,13329,French
stan1295,spring,13216,German
stan1290,stone,13189,French
stan1295,sing,13188,German
stan1288,pan,13183,Spanish
stan1290,love,13164,French
stan1290,box,13121,French
stan1290,age,13098,French
stan1288,red,13080,Spanish
stan1288,hay,13069,Spanish
stan1295,ant,13062,German
stan1295,lose,13059,German
stan1295,inn,13023,German
stan1295,fort,13004,German
stan1290,certain,12992,French
stan1295,stick,12985,German
czec1258,pro,12983,Czech
mand1415,feel,12931,Mandarin Chinese
stan1290,figure,12894,French
viet1252,ban,12875,Vietnamese
stan1290,sport,12833,French
lati1261,dies,12796,Latin
nucl1643,name,12792,Japanese
viet1252,long,12772,Vietnamese
stan1290,trade,12720,French
roma1327,fig,12668,Romanian
stan1288,break,12653,Spanish
stan1290,bit,12641,French
stan1290,attention,12626,French
lati1261,dare,12624,Latin
stan1290,instrument,12618,French
dutc1256,die,12589,Dutch
stan1290,net,12523,French
stan1290,page,12508,French
stan1290,position,12501,French
stan1295,pro,12455,German
afri1274,met,12444,Afrikaans
oldn1244,til,12441,Old Norse
lati1261,post,12427,Latin
stan1290,drink,12394,French
stan1288,mas,12371,Spanish
stan1290,foot,12312,French
dutc1256,door,12310,Dutch
lati1261,use,12288,Latin
nucl1643,death,12273,Japanese
stan1290,passage,12264,French
nucl1643,men,12245,Japanese
mand1415,che,12232,Mandarin Chinese
stan1295,lot,12231,German
stan1290,language,12191,French
stan1288,run,12119,Spanish
mand1415,carry,12105,Mandarin Chinese
stan1290,con,12034,French
stan1288,look,12031,Spanish
mand1415,hang,12010,Mandarin Chinese
stan1290,lot,11998,French
stan1290,film,11987,French
stan1290,river,11979,French
stan1290,bill,11966,French
wels1247,pan,11934,Welsh
stan1290,drive,11933,French
mand1415,yen,11917,Mandarin Chinese
lati1261,die,11915,Latin
stan1288,pie,11839,Spanish
stan1290,justice,11834,French
stan1290,met,11829,French
stan1288,general,11813,Spanish
stan1295,alter,11788,German
stan1290,dead,11776,French
stan1290,pot,11759,French
stan1290,ring,11757,French
mand1415,term,11741,Mandarin Chinese
stan1288,car,11708,Spanish
ital1282,dare,11667,Italian
stan1290,hot,11656,French
stan1290,black,11650,French
mand1415,stone,11642,Mandarin Chinese
port1283,ser,11608,Portuguese
stan1290,bras,11607,French
mand1415,live,11548,Mandarin Chinese
viet1252,day,11543,Vietnamese
stan1295,film,11536,German
stan1290,trait,11520,French
stan1295,nun,11517,German
mand1415,low,11484,Mandarin Chinese
stan1290,loin,11455,French
mand1415,die,11448,Mandarin Chinese
stan1288,short,11437,Spanish
stan1290,simple,11385,French
stan1290,post,11373,French
stan1290,bar,11372,French
wels1247,hen,11364,Welsh
lati1261,river,11362,Latin
stan1290,rapport,11340,French
lati1261,jam,11258,Latin
stan1290,crime,11251,French
stan1288,mayor,11239,Spanish
lati1261,state,11236,Latin
stan1290,strike,11175,French
ital1282,chi,11174,Italian
stan1288,round,11157,Spanish
stan1288,game,11146,Spanish
stan1290,cover,11141,French
stan1290,courage,11101,French
stan1295,net,11084,German
stan1290,math,11034,French
stan1295,fair,10985,German
stan1288,body,10980,Spanish
mand1415,hit,10977,Mandarin Chinese
stan1288,son,10954,Spanish
stan1288,metal,10948,Spanish
stan1295,fest,10947,German
hung1274,van,10937,Hungarian
stan1288,line,10936,Spanish
wels1247,man,10918,Welsh
stan1288,den,10883,Spanish
stan1290,cap,10833,French
mand1415,call,10823,Mandarin Chinese
stan1290,article,10744,French
stan1288,land,10721,Spanish
stan1290,party,10680,French
stan1290,chef,10675,French
stan1290,sang,10650,French
stan1290,catch,10641,French
stan1290,rot,10617,French
stan1290,care,10613,French
dani1285,med,10558,Danish
dutc1256,make,10546,Dutch
stan1288,cover,10511,Spanish
mand1415,dead,10495,Mandarin Chinese
mand1415,send,10487,Mandarin Chinese
viet1252,chi,10479,Vietnamese
ital1282,tempo,10467,Italian
stan1295,start,10455,German
viet1252,may,10453,Vietnamese
scot1243,like,10441,Scots
lati1261,trans,10430,Latin
stan1295,enter,10422,German
lati1261,genus,10418,Latin
lati1261,late,10380,Latin
stan1290,sale,10380,French
stan1290,chair,10373,French
stan1288,hard,10349,Spanish
stan1288,open,10343,Spanish
nucl1643,age,10330,Japanese
stan1290,stock,10304,French
stan1290,commerce,10299,French
wels1247,math,10266,Welsh
stan1290,building,10217,French
stan1288,pay,10205,Spanish
stan1288,paper,10170,Spanish
mand1415,account,10158,Mandarin Chinese
stan1290,suite,10127,French
mand1415,group,10071,Mandarin Chinese
stan1290,joint,10017,French
stan1288,use,9980,Spanish
lati1261,fit,9934,Latin
stan1290,pull,9921,French
stan1290,pipe,9910,French
stan1288,men,9898,Spanish
stan1290,pin,9890,French
stan1290,cross,9883,French
stan1290,speech,9867,French
stan1290,coups,9858,French
dutc1256,have,9856,Dutch
stan1290,race,9846,French
stan1290,condition,9835,French
stan1288,top,9815,Spanish
stan1290,pendant,9789,French
lati1261,com,9751,Latin
stan1290,chance,9743,French
stan1290,ion,9723,French
stan1290,plate,9719,French
stan1290,terrain,9686,French
stan1290,match,9641,French
mand1415,moon,9617,Mandarin Chinese
stan1290,grain,9589,French
ital1282,persona,9584,Italian
stan1295,rich,9581,German
stan1288,stand,9565,Spanish
mand1415,lie,9545,Mandarin Chinese
dutc1256,part,9541,Dutch
dutc1256,man,9447,Dutch
nucl1643,son,9411,Japanese
stan1290,shop,9411,French
stan1288,par,9407,Spanish
stan1288,hold,9388,Spanish
stan1295,ran,9372,German
mand1415,wan,9368,Mandarin Chinese
stan1290,robe,9365,French
stan1295,son,9365,German
stan1295,rot,9352,German
stan1290,danger,9351,French
stan1290,support,9345,French
stan1290,conversation,9337,French
stan1290,prison,9328,French
nucl1643,chin,9299,Japanese
stan1290,mode,9299,French
stan1288,show,9290,Spanish
stan1290,deal,9290,French
stan1290,pro,9280,French
stan1290,slang,9262,French
wels1247,bob,9262,Welsh
mand1415,pan,9246,Mandarin Chinese
stan1288,vista,9226,Spanish
stan1290,accord,9223,French
stan1295,rate,9219,German
stan1290,suit,9217,French
lati1261,age,9163,Latin
mand1415,dog,9153,Mandarin Chinese
stan1290,habit,9149,French
viet1252,bay,9143,Vietnamese
stan1295,pick,9136,German
stan1295,lost,9111,German
stan1288,fit,9108,Spanish
stan1290,bureau,9099,French
stan1295,block,9094,German
wels1247,dim,9081,Welsh
viet1252,man,9066,Vietnamese
stan1290,canon,9063,French
stan1290,comment,9057,French
lati1261,male,9009,Latin
stan1290,job,8993,French
stan1290,direction,8950,French
mand1415,dry,8871,Mandarin Chinese
stan1290,saint,8863,French
stan1290,base,8860,French
stan1290,centre,8858,French
stan1295,bell,8857,German
stan1290,motion,8852,French
stan1290,station,8851,French
stan1290,surface,8817,French
stan1295,firm,8746,German
roma1327,care,8732,Romanian
stan1290,date,8718,French
stan1288,country,8716,Spanish
stan1295,lock,8716,German
stan1290,voyage,8709,French
stan1288,real,8702,Spanish
iris1253,sin,8688,Irish
stan1295,angel,8657,German
stan1290,expression,8642,French
stan1290,distance,8606,French
stan1295,taste,8602,German
stan1290,tire,8600,French
