distance,langname_a,langname_b,title_a,imprint_a,year_a,title_b,imprint_b,year_b,id_a,id_b,glottocode_a,glottocode_b
0.8774899592991346,Zulu,Zulu,"Zulu-English dictionary, compiled by C. M. Doke and B. W. Vilakazi.","Witwatersrand University Press, 1964.",1964,"Zulu-English dictionary,","Witwatersrand University Press, 1953.",1953,uva.x001541743,mdp.39015040116835,zulu1248,zulu1248
0.8774899592991346,Zulu,Zulu,"Zulu-English dictionary,","Witwatersrand University Press, 1953.",1953,"Zulu-English dictionary, compiled by C. M. Doke and B. W. Vilakazi.","Witwatersrand University Press, 1964.",1964,mdp.39015040116835,uva.x001541743,zulu1248,zulu1248
1.6258159231248865,Scots,Scots,"Chambers's Scots dictionary : serving as a glossary for Ramsay, Fergusson, Burns, Scott, Galt, minor poets, kailyard novelists, and a host of other writers of the Scottish tongue / compiled by Alexander Warrack ; with an introduction and dialect map by William Grant.","W. & R. Chambers, 1984.",1984,"A Scot's dialect dictionary, comprising the words in use from the latter part of the seventeenth century to the present day, comp. by Alexander Warrack ... with an introduction and a dialect map by William Grant ...","W. & R. Chambers, Limited, 1911.",1911,inu.39000001083273,coo1.ark:/13960/t1mg85w64,scot1243,scot1243
1.6258159231248865,Scots,Scots,"A Scot's dialect dictionary, comprising the words in use from the latter part of the seventeenth century to the present day, comp. by Alexander Warrack ... with an introduction and a dialect map by William Grant ...","W. & R. Chambers, Limited, 1911.",1911,"Chambers's Scots dictionary : serving as a glossary for Ramsay, Fergusson, Burns, Scott, Galt, minor poets, kailyard novelists, and a host of other writers of the Scottish tongue / compiled by Alexander Warrack ; with an introduction and dialect map by William Grant.","W. & R. Chambers, 1984.",1984,coo1.ark:/13960/t1mg85w64,inu.39000001083273,scot1243,scot1243
1.9514303260479617,Scots,Scots,"Scots dictionary, serving as a glossary for Ramsay, Fergusson, Burns, Scott, Galt, minor poets, kailyard novelists, and a host of other writers of the Scottish tongue. With an introd. and dialect map by William Grant.",University of Alabama Press [1965],1965,"A Scot's dialect dictionary, comprising the words in use from the latter part of the seventeenth century to the present day, comp. by Alexander Warrack ... with an introduction and a dialect map by William Grant ...","W. & R. Chambers, Limited, 1911.",1911,mdp.49015002911924,coo1.ark:/13960/t1mg85w64,scot1243,scot1243
1.9514303260479617,Scots,Scots,"A Scot's dialect dictionary, comprising the words in use from the latter part of the seventeenth century to the present day, comp. by Alexander Warrack ... with an introduction and a dialect map by William Grant ...","W. & R. Chambers, Limited, 1911.",1911,"Scots dictionary, serving as a glossary for Ramsay, Fergusson, Burns, Scott, Galt, minor poets, kailyard novelists, and a host of other writers of the Scottish tongue. With an introd. and dialect map by William Grant.",University of Alabama Press [1965],1965,coo1.ark:/13960/t1mg85w64,mdp.49015002911924,scot1243,scot1243
2.075323151417246,Shan,Shan,Shan and English dictionary.,"American Baptist Mission Press, 1914.",1914,A Shan and English dictionary.,"Gregg, 1971.",1971,uc2.ark:/13960/t8pc2xt4m,mdp.39015013244408,shan1277,shan1277
2.075323151417246,Shan,Shan,A Shan and English dictionary.,"Gregg, 1971.",1971,Shan and English dictionary.,"American Baptist Mission Press, 1914.",1914,mdp.39015013244408,uc2.ark:/13960/t8pc2xt4m,shan1277,shan1277
2.092303062263982,Scots,Scots,"Scots dictionary, serving as a glossary for Ramsay, Fergusson, Burns, Scott, Galt, minor poets, kailyard novelists, and a host of other writers of the Scottish tongue. With an introd. and dialect map by William Grant.",University of Alabama Press [1965],1965,"Chambers's Scots dictionary : serving as a glossary for Ramsay, Fergusson, Burns, Scott, Galt, minor poets, kailyard novelists, and a host of other writers of the Scottish tongue / compiled by Alexander Warrack ; with an introduction and dialect map by William Grant.","W. & R. Chambers, 1984.",1984,mdp.49015002911924,inu.39000001083273,scot1243,scot1243
2.092303062263982,Scots,Scots,"Chambers's Scots dictionary : serving as a glossary for Ramsay, Fergusson, Burns, Scott, Galt, minor poets, kailyard novelists, and a host of other writers of the Scottish tongue / compiled by Alexander Warrack ; with an introduction and dialect map by William Grant.","W. & R. Chambers, 1984.",1984,"Scots dictionary, serving as a glossary for Ramsay, Fergusson, Burns, Scott, Galt, minor poets, kailyard novelists, and a host of other writers of the Scottish tongue. With an introd. and dialect map by William Grant.",University of Alabama Press [1965],1965,inu.39000001083273,mdp.49015002911924,scot1243,scot1243
