glottocode,subsistence,source
aari1239,other,dplace
aasa1238,hunter-gatherer,guldemannmr_2020
abab1239,other,dplace
abau1245,hunter-gatherer,guldemannmr_2020
aben1249,hunter-gatherer,guldemannmr_2020
abin1243,hunter-gatherer,guldemannmr_2020
abip1241,hunter-gatherer,guldemannmr_2020
abkh1244,other,dplace
abom1238,hunter-gatherer,guldemannmr_2020
abro1238,other,dplace
abui1241,other,dplace
abur1243,other,dplace
abuu1241,hunter-gatherer,guldemannmr_2020
ache1246,hunter-gatherer,guldemannmr_2020
achu1247,hunter-gatherer,guldemannmr_2020
acom1246,other,dplace
adam1253,other,dplace
adan1247,other,dplace
adny1235,hunter-gatherer,guldemannmr_2020
adze1240,other,dplace
aeky1238,hunter-gatherer,guldemannmr_2020
afar1241,other,dplace
afik1238,other,dplace
afri1274,other,dplace
aghu1254,hunter-gatherer,guldemannmr_2020
agob1244,hunter-gatherer,guldemannmr_2020
agus1235,other,dplace
aguu1242,other,dplace
ahte1237,hunter-gatherer,guldemannmr_2020
aika1237,other,autotyp
aime1238,hunter-gatherer,guldemannmr_2020
aimo1244,other,dplace
ainu1240,hunter-gatherer,guldemannmr_2020
aiom1240,hunter-gatherer,guldemannmr_2020
airo1242,hunter-gatherer,guldemannmr_2020
ajie1238,other,dplace
ajyi1238,other,dplace
akab1248,hunter-gatherer,guldemannmr_2020
akab1249,hunter-gatherer,guldemannmr_2020
akac1240,hunter-gatherer,guldemannmr_2020
akaj1239,hunter-gatherer,guldemannmr_2020
akak1251,hunter-gatherer,guldemannmr_2020
akak1252,hunter-gatherer,guldemannmr_2020
akak1253,hunter-gatherer,guldemannmr_2020
akar1243,hunter-gatherer,guldemannmr_2020
akaw1239,hunter-gatherer,cysouwc_2013
akha1245,other,dplace
akim1239,other,dplace
akka1237,other,autotyp
akka1240,other,dplace
akkk1240,hunter-gatherer,guldemannmr_2020
akla1241,other,dplace
akru1241,hunter-gatherer,guldemannmr_2020
akur1238,hunter-gatherer,guldemannmr_2020
akye1239,other,dplace
alab1246,hunter-gatherer,guldemannmr_2020
alac1244,other,autotyp
alam1246,hunter-gatherer,guldemannmr_2020
alaw1244,hunter-gatherer,guldemannmr_2020
alba1270,hunter-gatherer,dplace
aleu1260,hunter-gatherer,guldemannmr_2020
algi1247,other,dplace
algo1255,hunter-gatherer,guldemannmr_2020
alla1247,hunter-gatherer,guldemannmr_2020
alla1248,hunter-gatherer,dplace
alng1239,hunter-gatherer,guldemannmr_2020
alse1251,hunter-gatherer,guldemannmr_2020
aluk1238,hunter-gatherer,guldemannmr_2020
alur1250,other,dplace
alut1245,hunter-gatherer,guldemannmr_2020
alya1239,hunter-gatherer,guldemannmr_2020
amah1246,other,dplace
amal1242,hunter-gatherer,guldemannmr_2020
amap1240,hunter-gatherer,guldemannmr_2020
amar1271,hunter-gatherer,guldemannmr_2020
amar1274,hunter-gatherer,guldemannmr_2020
amar1281,other,dplace
amas1236,other,dplace
amba1263,other,dplace
amba1267,hunter-gatherer,guldemannmr_2020
amba1269,hunter-gatherer,guldemannmr_2020
ambo1250,other,dplace
ambu1247,hunter-gatherer,guldemannmr_2020
amha1245,other,dplace
amii1238,hunter-gatherer,guldemannmr_2020
amis1246,other,dplace
amto1250,hunter-gatherer,guldemannmr_2020
anas1239,hunter-gatherer,guldemannmr_2020
anci1244,other,dplace
anda1283,hunter-gatherer,guldemannmr_2020
anda1284,hunter-gatherer,guldemannmr_2020
ande1247,hunter-gatherer,guldemannmr_2020
ando1255,hunter-gatherer,guldemannmr_2020
ando1256,other,autotyp
anfi1235,other,dplace
anga1288,other,dplace
ango1254,hunter-gatherer,guldemannmr_2020
ango1255,hunter-gatherer,guldemannmr_2020
angu1242,hunter-gatherer,cysouwc_2013
