lowercase,pos
fish,noun
togetherness,noun
smell,noun
odor,noun
odour,noun
aroma,noun
scent,noun
smelling,nounverbadj
mountain,noun
mount,noun
obligation,noun
duty,noun
responsibility,noun
camel,noun
cattle,noun
cow,noun
ox,noun
kine,noun
oxen,noun
goat,noun
decoration,noun
ornament,noun
ornamentation,noun
man,noun
person,noun
men,noun
people,noun
sheep,noun
song,noun
bird,noun
shark,noun
car,noun
auto,noun
automobile,noun
motorcar,noun
parrot,noun
snow,noun
snowfall,noun
woman,noun
women,noun
tree,noun
rice,noun
banana,noun
taro,noun
cocoyam,missing
dasheen,nounverbadj
eddo,missing
taste,noun
tasting,noun
gustation,missing
time,noun
duration,noun
period,noun
year,noun
season,noun
month,noun
week,noun
hour,noun
minute,noun
second,missing
day,noun
night,noun
dawn,noun
morning,noun
noon,noun
midday,noun
afternoon,noun
evening,noun
clock,noun
chronology,noun
calendar,noun
present,nounverbadj
past,nounverbadj
future,noun
yesterday,missing
tomorrow,missing
ice,noun
caribou,noun
reindeer,noun
chrysalis,noun
eel,noun
emu,noun
sand,noun
noise,noun
rain,noun
rainfall,noun
rainwater,noun
wind,noun
cloud,noun
cuscus,noun
lizard,noun
snake,noun
serpent,noun
ophidian,nounverbadj
coconut,noun
cocoanut,missing
horse,noun
disease,noun
insect,noun
weather,noun
climate,noun
thunder,noun
lightning,noun
mist,noun
precipitation,noun
dew,noun
hail,noun
rainbow,noun
anger,noun
anxiety,noun
envy,noun
fear,noun
gloomy,nounverbadj
grief,noun
happy,nounverbadj
hate,nounverbadj
hope,nounverbadj
joy,noun
love,noun
pity,noun
proud,nounverbadj
regret,noun
sad,nounverbadj
shame,noun
surprised,nounverbadj
worry,nounverbadj
merry,nounverbadj
desire,noun
good,nounverbadj
like,missing
bad,nounverbadj
want,nounverbadj
happiness,noun
honey,noun
lion,noun
sword,noun
yam,noun
acorn,noun
basket,noun
handbasket,noun
eye,noun
sight,noun
vision,noun
optic,noun
oculus,noun
oculi,noun
battle,noun
fight,noun
hero,noun
sea,noun
ship,noun
boat,noun
vegetable,noun
veggie,noun
veg,noun
star,noun
garden,noun
bamboo,noun
fishing,noun
mushroom,noun
potato,noun
murphy,noun
spud,noun
tater,nounverbadj
pig,noun
bile,noun
breath,noun
catarrh,noun
pus,noun
defecation,noun
excrement,noun
faeces,noun
fart,noun
gall,noun
menses,noun
mucous,noun
mucus,noun
phlegm,noun
saliva,noun
snot,noun
placenta,noun
semen,noun
shit,noun
spittle,noun
sweat,noun
tear,noun
urine,noun
vernix,noun
vomit,noun
beard,noun
cheek,noun
chin,noun
eyeball,noun
eyebrow,noun
eyelash,noun
eyelid,noun
face,noun
forehead,noun
gum,noun
labium,missing
lip,noun
mandible,noun
masseter,nounverbadj
molar,noun
moustache,noun
mouth,noun
mustache,noun
nose,noun
nostril,noun
overlip,missing
philtrum,noun
pupil,noun
iris,noun
spectacle,noun
stubble,noun
tongue,noun
tooth,noun
teeth,noun
whisker,noun
backbone,noun
belly,noun
bicep,noun
bladder,noun
blood,noun
bone,noun
bowel,noun
brain,noun
cartilage,noun
cervix,noun
cheekbone,noun
collarbone,noun
coccyx,noun
fat,noun
flesh,noun
gallbladder,noun
gut,noun
heart,noun
hipbone,noun
intestine,noun
jaw,noun
kidney,noun
knee-cap,missing
kneecap,noun
knuckle,noun
liver,noun
lung,noun
marrow,noun
meat,noun
muscle,noun
navel,noun
nerve,noun
oesophagus,noun
palate,noun
pelvis,noun
rectum,noun
rib,noun
seat-bone,missing
shin,noun
skeleton,noun
skull,noun
spine,noun
spleen,noun
sternum,noun
stomach,noun
tendon,noun
testicle,noun
throat,noun
uvula,noun
uterus,noun
vein,noun
velum,noun
windpipe,noun
womb,noun
abdomen,noun
ankle,noun
anus,noun
arm,noun
armpit,noun
arse,noun
body,noun
breast,noun
bum,noun
