word	language_name	same_meaning	provenance
abandon	English	True	Wiktionary
abandon	French	True	Wiktionary
abandon	Friulian	False	Wiktionary
abandon	Middle English	False	Wiktionary
abandon	Norwegian Bokmål	False	Wiktionary
abandon	Polish	False	Wiktionary
abandon	Romanian	True	CogNet
abdomen	Afrikaans	True	Wiktionary
abdomen	Basque	True	Wiktionary
abdomen	Catalan	True	Wiktionary
abdomen	English	True	Wiktionary
abdomen	French	True	Wiktionary
abdomen	Indonesian	True	Wiktionary
abdomen	Latin	True	Wiktionary
abdomen	Malay	True	Wiktionary
abdomen	Norwegian Bokmål	True	Wiktionary
abdomen	Polish	True	Wiktionary
abdomen	Romanian	True	Wiktionary
abdomen	Serbo-Croatian	True	Wiktionary
abdomen	Spanish	True	Wiktionary
abdomen	Tagalog	True	Wiktionary
abdomen	Turkish	True	Wiktionary
abdominal	Catalan	True	Wiktionary
abdominal	French	True	Wiktionary
abdominal	German	True	Wiktionary
abdominal	Indonesian	False	Wiktionary
abdominal	Interlingua	True	Wiktionary
abdominal	Norwegian Bokmål	True	Wiktionary
abdominal	Portuguese	True	Wiktionary
abdominal	Romanian	True	Wiktionary
abdominal	Spanish	True	Wiktionary
abdominal	Swedish	True	Wiktionary
abdominal	Tagalog	True	Wiktionary
abduction	French	True	CogNet
abduction	Interlingua	True	Wiktionary
aberration	English	True	Wiktionary
aberration	French	True	Wiktionary
abide	Estonian	False	Wiktionary
abide	Turkish	False	Wiktionary
ability	English	True	Wiktionary
abject	Dutch	True	Wiktionary
abject	French	True	CogNet
abject	Romanian	True	Wiktionary
able	Asturian	False	suffix
able	Catalan	False	suffix
able	English	True	Wiktionary
able	French	False	suffix
able	Galician	False	suffix
able	Middle English	False	suffix
able	Middle French	False	suffix
able	Norwegian Bokmål	False	suffix
able	Old French	False	suffix
able	Scots	False	suffix
able	Spanish	False	suffix
abnormal	Cebuano	True	Wiktionary
abnormal	German	True	Wiktionary
abnormal	Indonesian	True	Wiktionary
abnormal	Malay	True	Wiktionary
abnormal	Norwegian Bokmål	True	Wiktionary
abnormal	Tagalog	True	Wiktionary
abolition	French	True	Wiktionary
aboriginal	English	True	Wiktionary
aboriginal	Spanish	False	Wiktionary
abrasive	French	True	CogNet
abrasive	German	False	CogNet
abrasive	Italian	False	CogNet
abrupt	Dutch	True	Wiktionary
abrupt	French	True	CogNet
abrupt	German	True	Wiktionary
abrupt	Norwegian Bokmål	True	Wiktionary
abrupt	Romanian	True	Wiktionary
abrupt	Swedish	True	Wiktionary
abs	English	True	Wiktionary
abs	Latin	False	Wiktionary
abs	Livonian	False	Wiktionary
abs	Portuguese	False	Wiktionary
abs	Scots	False	Wiktionary
abs	Translingual	False	Wiktionary
absence	Czech	True	Wiktionary
absence	Danish	False	Wiktionary
absence	English	True	Wiktionary
absence	French	True	Wiktionary
absence	Middle English	True	Wiktionary
absent	Catalan	True	Wiktionary
absent	English	True	Wiktionary
absent	French	True	Wiktionary
absent	German	True	Wiktionary
absent	Norman	True	Wiktionary
absent	Polish	False	Wiktionary
absent	Romanian	True	Wiktionary
absentee	English	True	Wiktionary
absolute	Dutch	True	CogNet
absolute	English	True	Wiktionary
absolute	Esperanto	False	CogNet
absolute	German	False	CogNet
absolute	Ido	False	CogNet
absolute	Latin	False	CogNet
absolute	Swedish	False	CogNet
absorb	Romanian	True	CogNet
absorbed	Spanish	False	Wiktionary
absorption	English	True	Wiktionary
absorption	Finnish	True	CogNet
absorption	French	True	Wiktionary
absorption	Swedish	True	Wiktionary
abstinence	French	True	Wiktionary
abstinence	Middle French	True	Wiktionary
abstinence	Old French	True	Wiktionary
abstract	Dutch	True	Wiktionary
abstract	English	True	Wiktionary
abstract	Middle English	True	Wiktionary
abstract	Romanian	True	Wiktionary
abstract	Scots	False	Wiktionary
abstraction	French	True	Wiktionary
abstractions	French	False	Wiktionary
absurd	Catalan	True	Wiktionary
absurd	Danish	True	Wiktionary
absurd	Dutch	True	Wiktionary
absurd	English	True	Wiktionary
absurd	German	True	Wiktionary
absurd	Indonesian	True	Wiktionary
absurd	Luxembourgish	True	Wiktionary
absurd	Norwegian Bokmål	True	Wiktionary
absurd	Norwegian Nynorsk	True	Wiktionary
absurd	Polish	True	CogNet
absurd	Romanian	True	Wiktionary
absurd	Swedish	True	Wiktionary
absurd	Tatar	False	Wiktionary
abundant	Catalan	True	Wiktionary
abundant	Dutch	True	Wiktionary
abundant	German	True	Wiktionary
abundant	Latin	False	Wiktionary
abundant	Old French	False	Wiktionary
abundant	Romanian	False	Wiktionary
abuse	English	True	Wiktionary
abuse	French	True	CogNet
abuse	Latin	False	CogNet
abuse	Portuguese	True	CogNet
abuse	Spanish	True	CogNet
abuser	French	False	Wiktionary
abuser	Norman	False	Wiktionary
abuses	Catalan	False	Wiktionary
abuses	English	True	Wiktionary
abuses	French	False	Wiktionary
abuses	Portuguese	False	Wiktionary
abuses	Spanish	False	Wiktionary
abusive	French	False	Wiktionary
abusive	Italian	False	Wiktionary
abusive	Latin	False	Wiktionary
abysmal	Portuguese	False	Wiktionary
abyss	English	True	Wiktionary
academia	English	True	Wiktionary
academia	Fala	False	Wiktionary
academia	Ladin	False	Wiktionary
academia	Latin	False	Wiktionary
academia	Portuguese	True	CogNet
academia	Spanish	True	CogNet
academic	English	True	Wiktionary
academic	Interlingua	True	Wiktionary
academic	Romanian	True	Wiktionary
academies	Dutch	False	Wiktionary
academies	English	True	Wiktionary
academies	Ladin	False	Wiktionary
academy	English	True	Wiktionary
accelerate	Italian	False	Wiktionary
accelerate	Latin	False	Wiktionary
acceleration	English	True	Wiktionary
acceleration	Interlingua	True	Wiktionary
acceleration	Swedish	True	CogNet
