lang_a,lang_b,distance
'Are'are,Lau,0.024720250563678433
'Are'are,Arosi,0.02528960031447262
'Are'are,Kwaio,0.0261365793746711
'Are'are,Cheke Holo,0.027670158155022304
'Are'are,Bughotu,0.028704907302861373
'Are'are,Toaripi,0.02874883878585536
'Are'are,Roviana,0.029059738623227013
'Are'are,Mota,0.029382414870764633
'Are'are,Mele-Fila,0.029415602859950277
'Are'are,Shan,0.029564693363650172
Abua,Bobangi,0.022905238441650114
Abua,East-Central Tangkhul Naga,0.024639873776838104
Abua,Balinese,0.024778089268585563
Abua,Yoruba,0.025164454173873925
Abua,Tetum,0.025299683171767787
Abua,Igbo,0.025436845718245567
Abua,Maguindanao,0.0255825829916588
Abua,Tsonga,0.02563989681309375
Abua,Spanish,0.025641043476042936
Abua,Waray,0.025730299443399312
Adnyamathanha,Polish,0.0327190510954179
Adnyamathanha,Western Parbate Kham,0.03272021959838193
Adnyamathanha,Marra,0.03287754871174738
Adnyamathanha,Czech,0.03312214469937579
Adnyamathanha,Karamojong,0.03342450819917597
Adnyamathanha,Yankunytjatjara,0.03363048601254253
Adnyamathanha,Igbo,0.033691353973384346
Adnyamathanha,Thai,0.03370488570172001
Adnyamathanha,Telugu,0.03371356312693978
Adnyamathanha,Swedish,0.03380793344322116
Adyghe,Swedish,0.023371899627754364
Adyghe,Western Frisian,0.02530952847385571
Adyghe,Estonian,0.02755326253319879
Adyghe,Yue Chinese,0.027816073937843824
Adyghe,Old English,0.028269714150654733
Adyghe,Hakka Chinese,0.02915559997624585
Adyghe,Mandarin Chinese,0.030737709953850473
Adyghe,Eastern Yiddish,0.030850718094770507
Adyghe,Eastern Armenian,0.03102683944144428
Adyghe,Urdu,0.031060217469976465
Afrikaans,Danish,0.007229498195268789
Afrikaans,Dutch,0.008602914345431223
Afrikaans,Swedish,0.008849489384303015
Afrikaans,German,0.009243772065982571
Afrikaans,Polish,0.009782456403480234
Afrikaans,Serbian-Croatian-Bosnian,0.009791821729894797
Afrikaans,Hungarian,0.010282384414250214
Afrikaans,Russian,0.01053636145056441
Afrikaans,Czech,0.010669089583698615
Afrikaans,Slovenian,0.010688268085130492
Agusan Manobo,Nyole,0.027369464781529716
Agusan Manobo,Gwere,0.028978528653448497
Agusan Manobo,Gungu,0.03091247634301759
Agusan Manobo,Tetum,0.03162999031792095
Agusan Manobo,Standard Malay,0.03180725375612658
Agusan Manobo,Iban,0.0326807065519536
Agusan Manobo,Talinga-Bwisi,0.034010306398932266
Agusan Manobo,Shona,0.0341151285690607
Agusan Manobo,Kannada,0.03449949869815094
Agusan Manobo,Ga,0.03456122397637773
Ahtena,Irish,0.03234532605045762
Ahtena,Comanche,0.03275025662328656
Ahtena,Hawaiian,0.0352912102042808
Ahtena,Iban,0.03549909883414195
Ahtena,Dutch,0.036198179274670145
Ahtena,Tonga,0.036448872320569835
Ahtena,Standard Malay,0.03723445447651068
Ahtena,Estonian,0.037984400312564316
Ahtena,Northwest Sahaptin,0.03798502378676236
Ahtena,Nyanja,0.03802978581408786
Akan,Spanish,0.016600212386020462
Akan,Polish,0.016770000636664544
Akan,Swedish,0.0177397642231615
Akan,Turkish,0.018158449478350974
Akan,Yoruba,0.019715044694814682
Akan,Efik,0.019823196630440614
Akan,Standard Indonesian,0.019856717577523757
Akan,Tibetan,0.019968537657712275
Akan,Telugu,0.019976548909826683
Akan,Italian,0.020270724141618925
Akawaio-Ingariko,Maguindanao,0.03610190242307368
Akawaio-Ingariko,Tetum,0.03651416564263955
Akawaio-Ingariko,Cheke Holo,0.03692633091729507
Akawaio-Ingariko,Mandinka,0.03731840205150459
Akawaio-Ingariko,Mbay,0.03770834714125697
Akawaio-Ingariko,Marra,0.03785743042957483
Akawaio-Ingariko,Central Dagaare,0.038110616484431876
Akawaio-Ingariko,Ndonga,0.03819194575235265
Akawaio-Ingariko,Mara Chin,0.03819356657653203
Akawaio-Ingariko,Biatah Bidayuh,0.0382470860394145
Akha,Yao,0.025192946068677852
Akha,Western Bukidnon Manobo,0.025250839989162437
Akha,Balinese,0.025890290784964333
Akha,Mara Chin,0.02592199599722687
Akha,Tetum,0.026004481553061645
Akha,Maguindanao,0.026126210771196905
Akha,Mandinka,0.0263863381931914
Akha,Biatah Bidayuh,0.026477122371853658
Akha,Mizo,0.026496854775552723
Akha,Venda,0.026690635879933405
Akkadian,Polish,0.020230606660251543
Akkadian,Czech,0.022264603013518472
Akkadian,Slovenian,0.022329114786267062
Akkadian,German,0.023354685991688693
Akkadian,Old English,0.02406981126199402
Akkadian,Urdu,0.024250190778873453
Akkadian,Latin,0.024257875127924412
Akkadian,Gujarati,0.024569293627936084
Akkadian,Hindustani,0.024573314911717242
Akkadian,Eastern Armenian,0.02487947136051496
Alabama,Spanish,0.02107670957623728
Alabama,French,0.021161785713490536
Alabama,Swedish,0.021312819871826656
Alabama,Italian,0.021706310422773555
Alabama,Polish,0.02225158293051347
Alabama,Bulgarian,0.022302509688577044
Alabama,Koasati,0.022493251164116577
Alabama,Mandarin Chinese,0.02287234577395234
Alabama,Danish,0.022941363992994273
Alabama,German,0.023039811851696883
Aleut,Irish,0.027049835086715605
Aleut,Polish,0.02708415698441984
Aleut,Nepali,0.027768821067281606
Aleut,Tahitian,0.027891820750732606
Aleut,Thai,0.02790982374621221
Aleut,Standard Indonesian,0.028015755659610765
Aleut,Vietnamese,0.028044217241191105
Aleut,Tigrinya,0.028401020448620053
Aleut,Aromanian,0.028404390832346995
Aleut,Mandarin Chinese,0.028409189539888365
Amharic,Tigrinya,0.014608029289855896
Amharic,Irish,0.015834476613532697
Amharic,Standard Malay,0.015884798271202517
Amharic,Standard Arabic,0.016061154818622587
Amharic,Estonian,0.016465075458811807
Amharic,Standard Indonesian,0.01726144924051903
Amharic,Old English,0.017318954898497625
Amharic,Swahili,0.01783611553624607
Amharic,Russian,0.018521837381762454
Amharic,Welsh,0.018728499334101634
