word,predictor,coefficient,p_val,warnings_m1,warnings_m2
snow,avgmonth_tmp,-0.8595492107156969,8.001985174928589e-37,,
frost,avgmonth_tmp,-0.668720754819221,1.3613511381578972e-27,,
winter,avgmonth_tmp,-0.6666927214933032,6.539320919416529e-26,,
autumn,avgmonth_tmp,-0.6568634687913991,3.1287430749809364e-19,,
summer,avgmonth_tmp,-0.6270995201613342,6.672845144788062e-24,,
hay,avgmonth_tmp,-0.5853125390906361,3.3481636398959337e-12,,
boot,avgmonth_tmp,-0.5853022371729804,3.012289664410947e-19,,
chimney,avgmonth_tmp,-0.5394339321235574,5.675759127960766e-16,,
wagon,avgmonth_tmp,-0.5312489698478007,5.000308148611264e-8,,
stove,avgmonth_tmp,-0.5239029896689514,1.7008733219095815e-10,,
oak,avgmonth_tmp,-0.5151499178187047,1.5521981165962208e-8,,
ice,avgmonth_tmp,-0.5144550470513307,8.23092096263817e-17,,
glove,avgmonth_tmp,-0.4838348079872622,5.045586959807475e-10,,
dollar,avgmonth_tmp,-0.4821150638865107,9.415293061140356e-5,,
wolf,avgmonth_tmp,-0.4764752863186314,1.7882389582943332e-14,,
apron,avgmonth_tmp,-0.47061142791662186,1.294112807727632e-10,,
cheese,avgmonth_tmp,-0.46764797937677616,2.1361357732968632e-10,,
cliff,avgmonth_tmp,-0.4608121884721051,5.230600990015564e-12,,
trail,avgmonth_tmp,-0.45196211970234224,7.93110282268124e-12,,
telephone,avgmonth_tmp,-0.43762678736421845,6.443641499135319e-8,,
berry,avgmonth_tmp,-0.43002726612400244,5.977061291159898e-10,,
hoop,avgmonth_tmp,-0.4276721238496674,1.9648491916434306e-10,,
cloak,avgmonth_tmp,-0.3973711729420601,7.122901356746879e-8,,
lace,avgmonth_tmp,-0.39393389950196356,3.945296606421581e-9,,
sock,avgmonth_tmp,-0.38978826415613604,5.5462466539840296e-8,,
fur,avgmonth_tmp,-0.38878792118262984,4.711183661022926e-12,,
stocking,avgmonth_tmp,-0.385324766534451,9.417654043317206e-9,,
rack,avgmonth_tmp,-0.38232671148134806,5.322089377863249e-8,,
coat,avgmonth_tmp,-0.3689264887294786,1.220374387250977e-10,,
moss,avgmonth_tmp,-0.3643156429987813,2.997222082880406e-8,,
seal,avgmonth_tmp,-0.3635188606124069,8.302884121587293e-9,,
cupboard,avgmonth_tmp,-0.36280858601005334,1.3291809712779727e-8,,
whale,avgmonth_tmp,-0.36184797975896965,3.7030538689037905e-5,,
lard,avgmonth_tmp,-0.35946733053246976,1.1013720711579e-6,,
beer,avgmonth_tmp,-0.3568891946024141,2.914405149337501e-4,,
lodge,avgmonth_tmp,-0.35420552280034817,7.658534714322639e-7,,
bog,avgmonth_tmp,-0.3481837179210102,7.237376352458896e-7,,
lunch,avgmonth_tmp,-0.34577946622624345,9.586305684223891e-6,,
wool,avgmonth_tmp,-0.34535384449283124,4.119629983639409e-9,,
ox,avgmonth_tmp,-0.33982255904047187,4.726736436090649e-5,,
scarf,avgmonth_tmp,-0.3392429958349613,1.4251797085914755e-6,,
rustle,avgmonth_tmp,-0.33396361626752025,9.547927410105166e-5,,
troop,avgmonth_tmp,-0.3336014738405536,8.534609458376454e-4,,
lake,avgmonth_tmp,-0.33199620248270767,1.0377795739593294e-8,,
ribbon,avgmonth_tmp,-0.3308847431961839,1.254668742561029e-6,,
rug,avgmonth_tmp,-0.33024270543143297,1.7194302735236573e-5,,
valley,avgmonth_tmp,-0.32926599638079274,2.95736565420076e-10,,
kettle,avgmonth_tmp,-0.32638765019724486,3.7186999261671847e-7,,
gorge,avgmonth_tmp,-0.32375824252849755,1.4557497266586406e-6,,
barrel,avgmonth_tmp,-0.32321192362439743,9.22738550672972e-8,,
pine,avgmonth_tmp,-0.3205471327324801,1.0129118507550214e-5,,
inn,avgmonth_tmp,-0.3194458502380015,4.944212389066699e-4,,
