word,predictor,coefficient,p_val,warnings_m1,warnings_m2
snow,avgmonth_tmp,-0.8358653022714763,2.2010280043472707e-35,,
frost,avgmonth_tmp,-0.6283861923818954,1.2651148511319197e-23,,
boot,avgmonth_tmp,-0.5803055099100225,2.9024501019997956e-17,,
winter,avgmonth_tmp,-0.5700529232659316,1.2985961499156029e-21,,
cliff,avgmonth_tmp,-0.547893950739499,1.2178441851744616e-15,,
autumn,avgmonth_tmp,-0.533981511699615,1.8646506302159033e-15,,
summer,avgmonth_tmp,-0.4985895630706732,9.025510445370805e-18,,
berry,avgmonth_tmp,-0.46423373728185724,3.0479410830123795e-11,,
apron,avgmonth_tmp,-0.46357172981909794,7.898065384629604e-10,,
ice,avgmonth_tmp,-0.4576513170580442,5.158802366839107e-14,,
chimney,avgmonth_tmp,-0.4514231863498422,5.65067295726577e-12,,
trail,avgmonth_tmp,-0.44277360366178076,7.440213972392364e-11,,
telephone,avgmonth_tmp,-0.4376267068872353,6.443627779964905e-8,,
cheese,avgmonth_tmp,-0.43612630798993235,4.71789118243493e-8,,
hoop,avgmonth_tmp,-0.4276721239506347,1.0844906921281945e-8,,
gorge,avgmonth_tmp,-0.42470687769933135,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
hay,avgmonth_tmp,-0.4184079246495391,2.0352000613846806e-6,,
wolf,avgmonth_tmp,-0.4024410148092223,6.73831548366687e-12,,
bog,avgmonth_tmp,-0.40203077517464225,2.828209629317707e-7,,
stove,avgmonth_tmp,-0.39561297987024463,3.941325284397246e-7,,
fur,avgmonth_tmp,-0.3887885049919275,4.714137260090254e-12,,
beer,avgmonth_tmp,-0.3865680962951853,9.671360613581456e-5,,
glove,avgmonth_tmp,-0.38468750723363504,1.0586097806863252e-7,,
rack,avgmonth_tmp,-0.3823268162568638,5.322089050568892e-8,,
lake,avgmonth_tmp,-0.3632628234448654,9.75093382939903e-10,,
cupboard,avgmonth_tmp,-0.36280806316249187,1.9852123447967924e-7,,
whale,avgmonth_tmp,-0.36184807149725995,3.7030534432897327e-5,,
rifle,avgmonth_tmp,-0.35401246851507984,3.6528028141371866e-6,,
lace,avgmonth_tmp,-0.35247380454721394,1.356738264997819e-6,,
moss,avgmonth_tmp,-0.3516704440705301,1.0662335638825927e-7,,
cloak,avgmonth_tmp,-0.3477282496505302,3.990184056515297e-6,,
lunch,avgmonth_tmp,-0.34577944188731813,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
scarf,avgmonth_tmp,-0.3392434852776742,5.488610701925604e-6,,
rustle,avgmonth_tmp,-0.3383668901854558,9.45412389068884e-5,,
sock,avgmonth_tmp,-0.33191463255953724,2.1825618931077856e-6,,
hare,avgmonth_tmp,-0.33114474074340206,4.879698572244822e-5,,
valley,avgmonth_tmp,-0.32926420387997474,2.9573657309936265e-10,,
oak,avgmonth_tmp,-0.3277737382962416,3.1358825222410305e-4,,
slope,avgmonth_tmp,-0.3267013596828865,2.0492106643351595e-9,,"Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')"
jacket,avgmonth_tmp,-0.31552641702667134,2.6026927837644333e-5,,
seal,avgmonth_tmp,-0.31183873297232356,6.615593253665741e-7,,
supper,avgmonth_tmp,-0.30890047719489394,6.61325649849594e-6,,
wagon,avgmonth_tmp,-0.30402573447770725,9.367500182460414e-4,,
skim,avgmonth_tmp,-0.30097976627414663,4.667722672834702e-6,,
rug,avgmonth_tmp,-0.30091397481128807,1.8995379513661728e-4,,
dollar,avgmonth_tmp,-0.29973641929038697,0.009549048021858327,,
weather,avgmonth_tmp,-0.29829690072310644,6.3903423056257285e-9,,
mood,avgmonth_tmp,-0.2981539395822727,4.3390875752429826e-5,,
stocking,avgmonth_tmp,-0.2976638805375735,5.802401573524384e-6,,
crackle,avgmonth_tmp,-0.29628857253679197,4.449699107645813e-4,,
team,avgmonth_tmp,-0.2927329122693722,6.44910145865769e-5,,
cape,avgmonth_tmp,-0.290169715291687,4.0116348593526323e-4,,
coat,avgmonth_tmp,-0.28803027357385036,6.432518814897908e-8,,
program,avgmonth_tmp,-0.28225227838718625,4.512330564041414e-4,,
pilot,avgmonth_tmp,-0.28213061013557883,3.0055639681339402e-5,,
tea,avgmonth_tmp,-0.28084613880531406,1.3618455612421665e-5,,
notch,avgmonth_tmp,-0.2806507876013423,2.9134920573603416e-4,,
lamb,avgmonth_tmp,-0.2798104576195733,2.8548523442905162e-5,,
wool,avgmonth_tmp,-0.2795481008208621,3.0154305124431347e-6,,
kettle,avgmonth_tmp,-0.2772190373855795,9.856308948535991e-6,,
barrel,avgmonth_tmp,-0.2766190234824272,1.2407204519998534e-6,,
slide,avgmonth_tmp,-0.2763972923682274,1.0441374226193912e-7,,
lodge,avgmonth_tmp,-0.27566878266051775,2.15749895160651e-4,,
pop,avgmonth_tmp,-0.27563387940727685,0.0015410535717472233,,
scrap,avgmonth_tmp,-0.27527451167825906,4.839172059082202e-4,,
grease,avgmonth_tmp,-0.27406532331137207,2.0789989723605974e-7,,
dinner,avgmonth_tmp,-0.27329600992390896,5.153346035968472e-4,,
drift,avgmonth_tmp,-0.2727178665412979,8.866223906258283e-5,,
holiday,avgmonth_tmp,-0.272290333700026,6.344963706402561e-4,,
pail,avgmonth_tmp,-0.2718659199311053,4.3855260501779584e-5,,
runner,avgmonth_tmp,-0.269784534909305,7.267585036198262e-6,,
ravine,avgmonth_tmp,-0.2690453027710742,3.401240274237725e-4,,
possibility,avgmonth_tmp,-0.26847625778011686,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
clip,avgmonth_tmp,-0.26789759528247753,7.401619583333038e-5,,
groove,avgmonth_tmp,-0.2646519807565817,2.8059524315081203e-5,,
ribbon,avgmonth_tmp,-0.2640547865509368,5.357790699025151e-5,,
mess,avgmonth_tmp,-0.26269911271701546,5.674000282147167e-4,,
potato,avgmonth_tmp,-0.26267596180414143,5.819694729003342e-5,,
loaf,avgmonth_tmp,-0.26251546996992536,1.7192194953024086e-5,,
trot,avgmonth_tmp,-0.26154932717956864,9.100037982329978e-4,,
newspaper,avgmonth_tmp,-0.261508732079528,0.005095494617246266,,
switch,avgmonth_tmp,-0.260924540579959,3.0185994826253863e-5,,
fabric,avgmonth_tmp,-0.2590856393744109,0.005969521114187967,,
equipment,avgmonth_tmp,-0.2586605970588762,0.0011728107255317166,,
pasture,avgmonth_tmp,-0.2571856568579338,4.324470756328138e-4,,
haul,avgmonth_tmp,-0.25711334780792344,5.280202297454477e-4,,
century,avgmonth_tmp,-0.25676219164086056,0.0038194603583650267,,
stress,avgmonth_tmp,-0.2567609633714599,0.0026757946451478375,,
rake,avgmonth_tmp,-0.25467874212080327,3.501396348427783e-6,,
record,avgmonth_tmp,-0.2544582221842631,5.528062960271891e-5,,
fork,avgmonth_tmp,-0.25424760288420706,6.109434685011107e-8,,
monster,avgmonth_tmp,-0.2532178858192672,2.3499805614114676e-4,,
draft,avgmonth_tmp,-0.2525995082119597,6.680559612963222e-5,,
rush,avgmonth_tmp,-0.25176863360843466,6.17742241035447e-7,,
folk,avgmonth_tmp,-0.2515050159273677,8.826220533302769e-4,,
hedge,avgmonth_tmp,-0.25107620043642076,0.0025456477458101427,,
track,avgmonth_tmp,-0.25025880039568565,4.4236383268056363e-7,,
training,avgmonth_tmp,-0.25023012068319767,0.0013095309163731505,,
train,avgmonth_tmp,-0.24955694611340187,5.296781614413304e-5,,
howl,avgmonth_tmp,-0.24855884876741988,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
marsh,avgmonth_tmp,-0.24833974313635057,1.497853455049322e-4,,
legend,avgmonth_tmp,-0.24640479498312448,NA,,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
cone,avgmonth_tmp,-0.24475977438482502,5.306999749502785e-5,,
shovel,avgmonth_tmp,-0.24302382019726412,1.8508163352455958e-5,,
flap,avgmonth_tmp,-0.24039573719537471,2.1764385901967e-6,,
crash,avgmonth_tmp,-0.2402576716783585,0.0012026888748096585,,
tent,avgmonth_tmp,-0.23954173877727197,2.8020938421903063e-4,,
football,avgmonth_tmp,-0.23904080637541128,0.023617598888821728,,
reserve,avgmonth_tmp,-0.23834866189370332,3.644703909180074e-4,,
definition,avgmonth_tmp,-0.23832563736970716,NA,,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
mountain,avgmonth_tmp,-0.23676484619201346,1.353060091226313e-5,,
culture,avgmonth_tmp,-0.23632636668927773,2.7457748834008814e-5,,
version,avgmonth_tmp,-0.23596222123267863,0.0015297718322139096,,
daylight,avgmonth_tmp,-0.2358235700441864,6.791339664207854e-5,,
fog,avgmonth_tmp,-0.23520045982112933,1.1721761906044617e-7,,
clot,avgmonth_tmp,-0.23494183746704314,5.539834407978876e-4,,
bay,avgmonth_tmp,-0.2321260003337265,0.00460438063000212,,
hop,avgmonth_tmp,-0.23172462272627933,4.0534902833078027e-4,,
barn,avgmonth_tmp,-0.23129369107855519,0.0034115724833482675,,
rumble,avgmonth_tmp,-0.22985036152067984,0.005028364934054291,,
cabbage,avgmonth_tmp,-0.22927011729084265,0.0011894383568588295,,
lever,avgmonth_tmp,-0.22911477137760228,8.148020802992719e-4,,
fox,avgmonth_tmp,-0.22901770743904082,3.0481428734553965e-4,,
brook,avgmonth_tmp,-0.22881174062083956,0.0010135570490885902,,
stitch,avgmonth_tmp,-0.22866804269218788,1.321802046253518e-4,,
translation,avgmonth_tmp,-0.22845561398071063,0.0015737539464868932,,
lard,avgmonth_tmp,-0.22779407993205653,0.0025189926418057386,,
creek,avgmonth_tmp,-0.22729939694251225,0.022145968871136703,,
inn,avgmonth_tmp,-0.22461977274128342,0.014028995976594634,,
situation,avgmonth_tmp,-0.22426465059084663,2.144888687491273e-4,,
strap,avgmonth_tmp,-0.22370911622856218,7.756246804454976e-5,,
muzzle,avgmonth_tmp,-0.22358602905742045,1.9685203399461468e-4,,
collar,avgmonth_tmp,-0.22348409083099927,5.793526182221855e-5,,
goose,avgmonth_tmp,-0.22307416866002705,4.668503496538667e-5,,
calendar,avgmonth_tmp,-0.2206063043595479,0.007769739298045728,,
nonsense,avgmonth_tmp,-0.2206010736794309,7.075902236221599e-4,,
sketch,avgmonth_tmp,-0.22017237528072559,0.002228647807739795,,
development,avgmonth_tmp,-0.21996909906092302,4.452832753528912e-4,,
page,avgmonth_tmp,-0.21963321448051393,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
heating,avgmonth_tmp,-0.21835492503262274,8.956111779719335e-4,,
sheep,avgmonth_tmp,-0.21762322853860713,8.140740217856685e-5,,
plug,avgmonth_tmp,-0.2174751049975677,8.117241928842115e-4,,
prize,avgmonth_tmp,-0.21745191469697286,0.0012423818346591405,,
broth,avgmonth_tmp,-0.2168132430550698,0.002404802295702496,,
bullet,avgmonth_tmp,-0.21539152165700895,1.4111657938823468e-4,,
flutter,avgmonth_tmp,-0.21529378045068684,0.0010298562444470678,,
gale,avgmonth_tmp,-0.2139831990411614,0.012430053460721053,,
sucker,avgmonth_tmp,-0.2131094782456068,0.006398548286867649,,
pronunciation,avgmonth_tmp,-0.21276410126926448,0.023661234308881028,,
edition,avgmonth_tmp,-0.2124240380794366,0.005788774144966869,,
clam,avgmonth_tmp,-0.211500198394153,0.07275856189425631,,
circumstance,avgmonth_tmp,-0.2111331249704347,4.941991840674848e-4,,
feature,avgmonth_tmp,-0.21026664473168802,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
professor,avgmonth_tmp,-0.20984543056477897,0.0036337105206488123,,
spring,avgmonth_tmp,-0.20881345149817374,2.4549591115887317e-10,,
fling,avgmonth_tmp,-0.2085519780135632,0.0037095380265699967,,
harbor,avgmonth_tmp,-0.20814526117567228,0.008579807497974257,,
rattle,avgmonth_tmp,-0.2080103303555676,3.4086910846084067e-4,,
splash,avgmonth_tmp,-0.20763581832681385,0.0019227131700354366,,
birthday,avgmonth_tmp,-0.20721202636999325,0.016716411577177816,,
gossip,avgmonth_tmp,-0.20719331255118764,2.1528075648717004e-4,,
suspect,avgmonth_tmp,-0.20666850440695309,2.3607573083365047e-4,,
button,avgmonth_tmp,-0.20628288503401518,3.331126769381417e-5,,
bracket,avgmonth_tmp,-0.2053985805313768,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
print,avgmonth_tmp,-0.20266840995527127,2.3544132465857704e-4,,
reprimand,avgmonth_tmp,-0.20162643813256456,0.006339562361997862,,
buck,avgmonth_tmp,-0.2015050178870219,0.005877738354966796,,
troop,avgmonth_tmp,-0.20125923948635566,0.02275139742276158,,
exhaust,avgmonth_tmp,-0.20061578634809732,0.0029444917091387825,,
coast,avgmonth_tmp,-0.2002230490738713,0.015494508972240617,,
population,avgmonth_tmp,-0.2001083380753086,0.004339945010935812,,
seam,avgmonth_tmp,-0.19974563396254852,9.616541181477632e-4,,
hack,avgmonth_tmp,-0.19964912395343234,0.0018354721871259075,,
sleeve,avgmonth_tmp,-0.1994174265195119,0.002201295569251344,,
clothing,avgmonth_tmp,-0.19878499792766505,4.0417395866401484e-4,,
research,avgmonth_tmp,-0.19833630636468522,0.007268132289851229,,
table,avgmonth_tmp,-0.19770975265033802,1.839145363488431e-4,,
host,avgmonth_tmp,-0.1969584650463876,0.0012634991944918356,,
carcass,avgmonth_tmp,-0.1965443453796861,0.004180136769472017,,
entry,avgmonth_tmp,-0.19640920940438603,0.040801638949067784,,
stuff,avgmonth_tmp,-0.19637862784533164,1.2953515825413442e-4,,
range,avgmonth_tmp,-0.1959691226176178,5.639516293820472e-4,,
mare,avgmonth_tmp,-0.1959165147310851,0.027638592362742073,,
hurry,avgmonth_tmp,-0.19517558393525178,2.0266272238997967e-6,,
porridge,avgmonth_tmp,-0.1949168017924577,0.03468306883597617,,
survey,avgmonth_tmp,-0.19456653071812538,0.0015543154232402021,,
fuel,avgmonth_tmp,-0.1944787467061015,0.0038108622784134324,,
bos,avgmonth_tmp,-0.19431473529095383,0.010169900602119617,,
data,avgmonth_tmp,-0.19337722885686964,0.016600987414455697,,
yarn,avgmonth_tmp,-0.19172394295294634,0.011720213256340824,,
