word,predictor,coefficient,p_val,warnings_m1,warnings_m2
snow,avgmonth_tmp,-1.174399736553431,2.0427494252494348e-19,,
winter,avgmonth_tmp,-0.77138093718193,8.151680247189702e-12,,
berry,avgmonth_tmp,-0.7384294666887946,3.2031664605471785e-9,,
ice,avgmonth_tmp,-0.6655919409539783,1.6705536459213498e-8,,
summer,avgmonth_tmp,-0.5987350227751729,8.019378084942406e-9,,
seal,avgmonth_tmp,-0.57029359806646,5.495970076123605e-5,,
lake,avgmonth_tmp,-0.5684675598129262,4.2778306565772075e-7,,
cliff,avgmonth_tmp,-0.5163368715488149,1.4091682716305225e-5,,
fur,avgmonth_tmp,-0.4812870951487307,8.744359225096123e-7,,
tent,avgmonth_tmp,-0.46564896854683596,4.200799904533183e-5,,
translation,avgmonth_tmp,-0.465465521100924,2.0167216946950532e-5,,
bay,avgmonth_tmp,-0.4572116447200159,0.01934969867118447,,
coat,avgmonth_tmp,-0.45282769154584473,3.195843737707282e-5,,
text,avgmonth_tmp,-0.4367257927032003,0.01510436862845146,,
kettle,avgmonth_tmp,-0.4312184382851878,0.0028354962421466,,
slope,avgmonth_tmp,-0.42467576913842897,2.523658617329888e-4,,
mountain,avgmonth_tmp,-0.3931319082503226,3.0055855324242716e-4,,
moss,avgmonth_tmp,-0.3848270720969104,0.001540066666597218,,
trail,avgmonth_tmp,-0.3821689582711586,0.00733105029697081,,
goose,avgmonth_tmp,-0.38040355174008256,0.0030778689160024394,,
element,avgmonth_tmp,-0.3758457844143941,0.34622796663009286,,
syllable,avgmonth_tmp,-0.36857694224005705,0.062388545214486876,,
vocabulary,avgmonth_tmp,-0.3597477027180604,0.018697204771846086,,
shaft,avgmonth_tmp,-0.35692178496890475,0.020995969829819217,,
gut,avgmonth_tmp,-0.3444228042102925,0.010105711102605512,,
sewing,avgmonth_tmp,-0.3380076899582881,0.002606629011131493,,
dialect,avgmonth_tmp,-0.33762505645588986,0.017474511237015152,,
fog,avgmonth_tmp,-0.3367126851583682,2.386123094737404e-5,,
weather,avgmonth_tmp,-0.3344462395668252,1.1388446723157653e-4,,
neglect,avgmonth_tmp,-0.327186562563044,0.010413151144051325,,
arrow,avgmonth_tmp,-0.32445782166419884,0.0055920417785153345,,
spring,avgmonth_tmp,-0.3237869555677578,6.707160085647317e-8,,
example,avgmonth_tmp,-0.3080482625972781,0.048042583510469375,,
valley,avgmonth_tmp,-0.3073722689052607,0.0015911384617367755,,
garment,avgmonth_tmp,-0.30386937926601093,0.024737391178674524,,
fox,avgmonth_tmp,-0.3034024800638119,0.017299940328968467,,
board,avgmonth_tmp,-0.3028481554388608,0.0024610610331224055,,
