word,predictor,coefficient,p_val,warnings_m1,warnings_m2
snow,avgmonth_tmp,-0.822875392193228,4.4917079254312637e-39,,
frost,avgmonth_tmp,-0.6637507700537933,5.612781204970708e-29,,
winter,avgmonth_tmp,-0.6530893510680671,2.9268630264565007e-27,,
autumn,avgmonth_tmp,-0.6315590776374739,1.7299221742370315e-19,,
summer,avgmonth_tmp,-0.6141712273458185,8.969592026088955e-26,,
boot,avgmonth_tmp,-0.5766275636088866,8.9016754417884e-21,,
hay,avgmonth_tmp,-0.5717274805863208,9.161077559484383e-14,,
wagon,avgmonth_tmp,-0.5414708320579111,7.809766767374162e-9,,
chimney,avgmonth_tmp,-0.5392594955946521,3.66501391488746e-17,,
oak,avgmonth_tmp,-0.5279378679067215,1.2808087993271255e-9,,
stove,avgmonth_tmp,-0.5165408421932532,4.320490491511208e-11,,
cheese,avgmonth_tmp,-0.5005461459547873,7.716234217683903e-13,,
ice,avgmonth_tmp,-0.4997845218310997,1.0883303237223707e-19,,
dollar,avgmonth_tmp,-0.4984176934917476,1.75022668760715e-5,,
apron,avgmonth_tmp,-0.48037085912433763,2.1607316089229092e-11,,
glove,avgmonth_tmp,-0.47963798645657507,8.437990772971665e-11,,
cliff,avgmonth_tmp,-0.470804008907911,4.042173412420709e-13,,
telephone,avgmonth_tmp,-0.45104050434210136,1.152173835694368e-7,,
berry,avgmonth_tmp,-0.44328520632287416,6.079134609428686e-12,,
wolf,avgmonth_tmp,-0.4426985165876077,1.1130218797425228e-14,,
hoop,avgmonth_tmp,-0.4237893743275847,8.433277592844198e-12,,
trail,avgmonth_tmp,-0.4107804555923505,1.3190009818199853e-11,,
stocking,avgmonth_tmp,-0.3978344816082776,1.1987847525882245e-9,,
sock,avgmonth_tmp,-0.39567301297712915,4.279502517096853e-9,,
beer,avgmonth_tmp,-0.3853250367942481,5.0996779741839365e-5,,
lace,avgmonth_tmp,-0.38427075400962035,1.032729391293971e-9,,
rack,avgmonth_tmp,-0.3826200808896168,1.2545699209173615e-8,,
cloak,avgmonth_tmp,-0.3803005323568655,4.1609154719332654e-8,,
lard,avgmonth_tmp,-0.372546935456993,2.471118342044196e-7,,
cupboard,avgmonth_tmp,-0.3685625019928376,4.053453896436611e-10,,
whale,avgmonth_tmp,-0.3628868777032516,1.4641226448970284e-5,,
fur,avgmonth_tmp,-0.3616577689933475,1.430594161952809e-13,,
rustle,avgmonth_tmp,-0.35456057523237294,7.678575345321558e-6,,
coat,avgmonth_tmp,-0.3537020503772414,5.826294936723444e-11,,
moss,avgmonth_tmp,-0.34554148018914466,2.100874102871296e-8,,
ribbon,avgmonth_tmp,-0.3453825497681475,1.0093720024324827e-7,,
lunch,avgmonth_tmp,-0.3418620271434359,9.049927187241974e-8,,
lodge,avgmonth_tmp,-0.3418063062754211,5.288956092013075e-7,,
seal,avgmonth_tmp,-0.3401363541408414,5.483808239612633e-9,,
haul,avgmonth_tmp,-0.3383408256661927,9.663257373684996e-7,,
wool,avgmonth_tmp,-0.3382719324022958,1.9185399664689928e-10,,
valley,avgmonth_tmp,-0.33548112736639296,2.1572882897980015e-11,,
team,avgmonth_tmp,-0.3351602758438704,5.339708666874501e-8,,
scarf,avgmonth_tmp,-0.33372604489840235,4.2377263042793285e-7,,
supper,avgmonth_tmp,-0.330981081894919,4.1246019039155435e-7,,
barrel,avgmonth_tmp,-0.3279829365877881,7.031439668433214e-9,,
bog,avgmonth_tmp,-0.326996969988113,7.033581912928133e-7,,
inn,avgmonth_tmp,-0.3254027623372281,7.780082963659119e-5,,
gorge,avgmonth_tmp,-0.32529328002156926,4.2481839070416305e-7,,
pine,avgmonth_tmp,-0.3245217269902934,1.7055628797943538e-6,,
rug,avgmonth_tmp,-0.32416227638538464,4.7855089982234354e-6,,
train,avgmonth_tmp,-0.3176516710865009,1.645107141985795e-8,,
lamb,avgmonth_tmp,-0.3162944503988599,1.670173154398097e-7,,
weather,avgmonth_tmp,-0.3125753848234486,3.496650786637271e-12,,
kettle,avgmonth_tmp,-0.31122332621826,1.2396660316343387e-7,,
pear,avgmonth_tmp,-0.3043910729446846,3.520605732152155e-5,,
buck,avgmonth_tmp,-0.3043760088244014,3.960030120052578e-6,,
newspaper,avgmonth_tmp,-0.3027630539037352,5.017615673464069e-4,,
wheat,avgmonth_tmp,-0.2988769344369463,2.3454318401877113e-6,,
pop,avgmonth_tmp,-0.297572734432548,5.922812178678031e-7,,
troop,avgmonth_tmp,-0.2967261148361664,0.0017733844186212087,,
jacket,avgmonth_tmp,-0.29479697562817636,9.114400515412244e-6,,
skim,avgmonth_tmp,-0.29438266995311774,1.4066772401813034e-6,,
ox,avgmonth_tmp,-0.29097586102392764,9.690476932825073e-5,,
rifle,avgmonth_tmp,-0.289277576357556,1.0972904246662114e-5,,
folk,avgmonth_tmp,-0.28890505526584936,1.2500490666330392e-5,,
program,avgmonth_tmp,-0.2883091330623804,7.015530358672719e-5,,
marsh,avgmonth_tmp,-0.2882812150763989,9.773826657439097e-7,,
fabric,avgmonth_tmp,-0.2882709043938724,2.813788111813939e-4,,
grease,avgmonth_tmp,-0.28667076894159677,5.558921312149834e-8,,
pail,avgmonth_tmp,-0.2839637359707545,3.186722468754627e-7,,
draft,avgmonth_tmp,-0.28183796380486814,4.264230214909538e-6,,
howl,avgmonth_tmp,-0.2815769737631364,1.5850135154752424e-10,,
notch,avgmonth_tmp,-0.2806453156573557,1.0194699712956285e-4,,
runner,avgmonth_tmp,-0.2800071078528999,6.798742525060009e-7,,
century,avgmonth_tmp,-0.27963116788909587,3.617463993631146e-5,,
trot,avgmonth_tmp,-0.2796197351968436,9.159280277377207e-5,,
drift,avgmonth_tmp,-0.27908987960753795,2.372204260895239e-5,,
lake,avgmonth_tmp,-0.27875031260190286,7.332993972718207e-8,,
record,avgmonth_tmp,-0.2759396032791407,6.247756966649566e-7,,
ravine,avgmonth_tmp,-0.27539783556292213,1.192059170613238e-4,,
equipment,avgmonth_tmp,-0.2751688880126155,9.791663520793333e-5,,
tea,avgmonth_tmp,-0.27450045846847554,8.808155016629937e-7,,
loaf,avgmonth_tmp,-0.27384963663442463,2.7195134161371464e-6,,
clip,avgmonth_tmp,-0.27340244487344034,1.039336065791423e-5,,
pilot,avgmonth_tmp,-0.2726646080092815,2.277248952999403e-5,,
stress,avgmonth_tmp,-0.2722799475491934,3.755103298569868e-4,,
mood,avgmonth_tmp,-0.2713168475659892,4.7729616191608715e-06,,
dinner,avgmonth_tmp,-0.2712040333625661,5.032410700257692e-5,,
flint,avgmonth_tmp,-0.26960811669931006,4.822420347160033e-5,,
hare,avgmonth_tmp,-0.26950793955700925,1.1573844392501468e-4,,
slope,avgmonth_tmp,-0.2690514406970882,4.6616064954197124e-7,,
hedge,avgmonth_tmp,-0.2652957006173834,6.513046695305241e-4,,
slide,avgmonth_tmp,-0.2652177799808091,6.43363104537003e-8,,
monster,avgmonth_tmp,-0.2652063760132989,8.094205160658267e-6,,
card,avgmonth_tmp,-0.2644848400496178,1.7981730012424845e-4,,
groove,avgmonth_tmp,-0.26200953376525304,9.663719130249353e-6,,
translation,avgmonth_tmp,-0.26162870657337256,4.442573939564384e-6,,
goose,avgmonth_tmp,-0.26132337023362734,4.353861357526395e-7,,
crackle,avgmonth_tmp,-0.25937038352255964,3.877697850859184e-4,,
shovel,avgmonth_tmp,-0.25787160191708935,1.2770313284005049e-6,,
pasture,avgmonth_tmp,-0.2563111579471163,6.183149015949705e-5,,
rabbit,avgmonth_tmp,-0.2547195907081055,3.059331036280117e-4,,
fork,avgmonth_tmp,-0.25398743524997064,2.098816609207912e-8,,
culture,avgmonth_tmp,-0.2515884065590518,6.859810380507212e-7,,
muzzle,avgmonth_tmp,-0.25109298345179615,7.53937707227359e-6,,
coffee,avgmonth_tmp,-0.24907052009916061,0.0027883472903446043,,
entry,avgmonth_tmp,-0.24875696368412342,0.0037905354076308937,,
window,avgmonth_tmp,-0.24678021660788738,5.771318606527752e-10,,
barn,avgmonth_tmp,-0.24460848501478705,5.698357883524993e-4,,
manuscript,avgmonth_tmp,-0.2445377368481856,3.383644810158104e-4,,
library,avgmonth_tmp,-0.24290966276765885,8.246144748788061e-6,,
switch,avgmonth_tmp,-0.24267112781663966,1.2956685043357582e-5,,
version,avgmonth_tmp,-0.2418096388480529,6.758465997314845e-5,,
fling,avgmonth_tmp,-0.2413784431361709,2.453341956133617e-4,,
candy,avgmonth_tmp,-0.24067214644619922,0.009362911208811718,,
vote,avgmonth_tmp,-0.23976392404890332,0.006770315013197086,,
cape,avgmonth_tmp,-0.23934168239373235,0.0010670482677388373,,
accent,avgmonth_tmp,-0.23906604618087338,4.138079868530262e-4,,
professor,avgmonth_tmp,-0.2386436034987023,0.00017652246192147967,,
bay,avgmonth_tmp,-0.23813064390626307,0.0021576772136500675,,
ride,avgmonth_tmp,-0.23750910428399433,3.815590910520892e-6,,
rake,avgmonth_tmp,-0.23667244164757623,2.660331444017626e-7,,
brook,avgmonth_tmp,-0.23640165932538068,2.954486980359602e-4,,
mill,avgmonth_tmp,-0.2354631123853599,5.655785538338315e-5,,
cone,avgmonth_tmp,-0.2347151474951507,8.109656717734627e-6,,
flap,avgmonth_tmp,-0.2345458842781343,1.1228247082668447e-6,,
possibility,avgmonth_tmp,-0.23446961691757368,2.5687564852875285e-7,,
button,avgmonth_tmp,-0.23381192038171236,9.292768429110695e-7,,
legend,avgmonth_tmp,-0.23105729713415352,3.9057017734114845e-5,,
prize,avgmonth_tmp,-0.23080817074854795,2.890722234448353e-4,,
collar,avgmonth_tmp,-0.23068017368805227,4.625952030667112e-6,,
cabbage,avgmonth_tmp,-0.23024536263753656,2.779070755116285e-4,,
exhaust,avgmonth_tmp,-0.22921249206494876,7.535924146527306e-5,,
hop,avgmonth_tmp,-0.22835595415462898,7.832254817196909e-4,,
sleeve,avgmonth_tmp,-0.228054581366593,1.302885065449841e-4,,
tent,avgmonth_tmp,-0.22800308667560323,9.454877363005707e-5,,
lever,avgmonth_tmp,-0.22712878701521388,4.846803921035076e-4,,
spring,avgmonth_tmp,-0.22642916972857197,1.0308290118618528e-12,,
daylight,avgmonth_tmp,-0.2260333539381731,1.360144684655289e-4,,
population,avgmonth_tmp,-0.22457235958148045,8.97157150764227e-4,,
edition,avgmonth_tmp,-0.22402609124082568,4.105207919424561e-4,,
garbage,avgmonth_tmp,-0.22281209217693604,0.025260377678320088,,
sheep,avgmonth_tmp,-0.2225638281418603,1.1623096847175123e-5,,
strap,avgmonth_tmp,-0.2214126640289272,1.1232977778950329e-5,,
rattle,avgmonth_tmp,-0.2211103977878188,2.579393987799885e-5,,
page,avgmonth_tmp,-0.22064794527343706,1.5984003170074773e-5,,
institution,avgmonth_tmp,-0.22033993531278412,6.690982231272965e-4,,
tower,avgmonth_tmp,-0.22023630442160919,6.280117518543989e-4,,
yarn,avgmonth_tmp,-0.21982240656259888,9.559835246340157e-4,,
creek,avgmonth_tmp,-0.21976547495875753,0.024010952966883672,,
