word,predictor,coefficient,p_val,warnings_m1,warnings_m2
snow,avgmonth_tmp,-1.3119895516687097,3.9339537593482234e-23,,
winter,avgmonth_tmp,-0.9241645522117856,5.191828910367353e-16,,
summer,avgmonth_tmp,-0.7810122264366288,4.8461468225694244e-14,,
ice,avgmonth_tmp,-0.7211777997306924,2.1643837650538155e-10,,
berry,avgmonth_tmp,-0.7178564646977552,7.558868654344594e-9,,
seal,avgmonth_tmp,-0.5838729315857468,5.343533850252451e-6,,
coat,avgmonth_tmp,-0.5613668290678419,3.945190726479361e-8,,
lake,avgmonth_tmp,-0.5519996879946394,5.238871620384219e-7,,
kettle,avgmonth_tmp,-0.5228349906958625,6.758323787194651e-5,,
cliff,avgmonth_tmp,-0.49296605490606754,6.73891732458764e-6,,
trail,avgmonth_tmp,-0.48429571406239574,1.3686689201538953e-4,,
fur,avgmonth_tmp,-0.4812871146097436,8.589862329455782e-7,,
example,avgmonth_tmp,-0.47940507375670677,2.2206117387138996e-4,,
tent,avgmonth_tmp,-0.46565273973288535,4.2007997953038186e-5,,
translation,avgmonth_tmp,-0.46546618427788355,1.033256118399269e-5,,
bay,avgmonth_tmp,-0.4572100203724231,0.008550129703449302,,
text,avgmonth_tmp,-0.43672537612985035,0.00718330314366494,,
goose,avgmonth_tmp,-0.43520555804397854,2.196109911687424e-4,,
moss,avgmonth_tmp,-0.428450963964636,1.754723255645194e-4,,
pine,avgmonth_tmp,-0.40425487854868625,0.003149992315886332,,
wool,avgmonth_tmp,-0.39519372259384633,3.1533059446125773e-4,,
fog,avgmonth_tmp,-0.38528799219361953,1.354491359341561e-7,,
mountain,avgmonth_tmp,-0.3643286560323578,2.842606660848218e-4,,
horse,avgmonth_tmp,-0.3626983253084373,0.0022736231526351625,,
vocabulary,avgmonth_tmp,-0.35975484715381784,0.003699681801884803,,
slope,avgmonth_tmp,-0.35572276488904286,6.843984830346956e-4,,
board,avgmonth_tmp,-0.3539133139054573,2.10619326532269e-4,,
garment,avgmonth_tmp,-0.3524762212567283,0.005552062599148768,,
vowel,avgmonth_tmp,-0.3477327320888098,0.0012990372018919691,,
sheep,avgmonth_tmp,-0.3451814289792803,7.202249552916378e-4,,
barrel,avgmonth_tmp,-0.34330988895428455,0.014142494436607698,,
blanket,avgmonth_tmp,-0.33892990271633805,0.0028591784358618917,,
dialect,avgmonth_tmp,-0.33762505416831456,0.01747451274573215,,
neglect,avgmonth_tmp,-0.3331969123062542,0.010947652586664738,,
weather,avgmonth_tmp,-0.331673811490674,3.78551947009009e-5,,
sewing,avgmonth_tmp,-0.33044187754792254,0.00238852347715388,,
spring,avgmonth_tmp,-0.3237877916713863,3.04324208032822e-10,,
card,avgmonth_tmp,-0.32068752454402677,0.011879004601288611,,
leather,avgmonth_tmp,-0.3126165167413076,0.002397296883728353,,
braid,avgmonth_tmp,-0.3098451408834428,0.0034650093710290124,,
pin,avgmonth_tmp,-0.3077097527376669,0.0011077872458347025,,
slide,avgmonth_tmp,-0.3050146645024572,9.19899265766872e-4,,
loss,avgmonth_tmp,-0.30212564467934994,0.002218220572730367,,
element,avgmonth_tmp,-0.3019221834455984,0.04056003412179167,,
window,avgmonth_tmp,-0.30067136184012416,1.2680495794072398e-4,,
syllable,avgmonth_tmp,-0.2953719536414269,0.027262673735313565,,
clothing,avgmonth_tmp,-0.29415875293028837,6.791057673219401e-4,,
grease,avgmonth_tmp,-0.282340723165636,0.004576204380520962,,
candle,avgmonth_tmp,-0.2803148375589126,0.016179548796722478,,
pronunciation,avgmonth_tmp,-0.27804217198193504,0.003871169366495468,,
index,avgmonth_tmp,-0.27798887695638674,0.0119140405189099,,
quiver,avgmonth_tmp,-0.27798715848065414,0.0041911934835229345,,
valley,avgmonth_tmp,-0.27703506541908185,0.0016583918975747647,,
daughter-in-law,avgmonth_tmp,-0.2767521082997916,0.0012897931455584531,,
fox,avgmonth_tmp,-0.2718138754533733,0.01963930138203327,,
talk,avgmonth_tmp,-0.2695735569306982,0.018109860462797923,,
wedge,avgmonth_tmp,-0.26879277250442735,0.006572665502710731,,
arrow,avgmonth_tmp,-0.26510564366793227,0.012664786714667111,,
son-in-law,avgmonth_tmp,-0.26505039913799855,0.0023600425010610175,,
dough,avgmonth_tmp,-0.26129448516422793,0.015009421898929006,,
beam,avgmonth_tmp,-0.2586917568983522,0.022944054597274017,,
difference,avgmonth_tmp,-0.2581302762703186,1.4362993334181675e-4,,
collection,avgmonth_tmp,-0.2561485490287862,0.016646601448798107,,
mill,avgmonth_tmp,-0.2556858510631411,0.052556047190255785,,
university,avgmonth_tmp,-0.24653587081804573,0.03948653952905167,,
doubt,avgmonth_tmp,-0.24575073278855192,0.005285414819061836,,
strap,avgmonth_tmp,-0.244755045801737,0.0030376593048745456,,
mood,avgmonth_tmp,-0.24409632814635826,0.05389970707908702,,
attempt,avgmonth_tmp,-0.24306016348327608,0.0022430847267941425,,
comparison,avgmonth_tmp,-0.24156812752459347,0.0024734450540249827,,
train,avgmonth_tmp,-0.24136182244776574,0.010377559697845987,,
introduction,avgmonth_tmp,-0.2377016160373108,0.004563825884541695,,
hail,avgmonth_tmp,-0.23657105359694766,0.004125953678018947,,
butter,avgmonth_tmp,-0.23424483085350836,0.03310300332141014,,
pace,avgmonth_tmp,-0.23267282403113454,0.019570750041330093,,
stuff,avgmonth_tmp,-0.2318134766892621,0.008122253636599873,,
journey,avgmonth_tmp,-0.2317006144214602,0.04037295826226841,,
horn,avgmonth_tmp,-0.22843062633359335,0.003174959692227206,,
cap,avgmonth_tmp,-0.227503030088135,0.003527885975628891,,
direction,avgmonth_tmp,-0.22713781541849024,3.203158295521259e-4,,
bread,avgmonth_tmp,-0.22676621510927156,0.005751089485574218,,
contrary,avgmonth_tmp,-0.2254158595685463,0.016418413897782667,,
layer,avgmonth_tmp,-0.22484126263521986,0.010752409775823802,,
description,avgmonth_tmp,-0.22440922875708696,0.013919984420266235,,
shoe,avgmonth_tmp,-0.2243124781221645,0.008689736665379724,,
system,avgmonth_tmp,-0.2238401127244119,0.009831803987266095,,
cow,avgmonth_tmp,-0.2232753611403888,0.019009948263121777,,
handkerchief,avgmonth_tmp,-0.22320534524515215,0.018380546755737092,,
extent,avgmonth_tmp,-0.22210296684717787,0.027417760112371296,,
stake,avgmonth_tmp,-0.2218543909926227,0.012447599635031762,,
tale,avgmonth_tmp,-0.22110450012261446,0.06429348034186708,,
trace,avgmonth_tmp,-0.22035679436675942,0.012962166662767154,,
blaze,avgmonth_tmp,-0.21978006700928457,0.034356797130103284,,
howl,avgmonth_tmp,-0.21905613009754557,0.004871378132135843,,
marrow,avgmonth_tmp,-0.21771213554978924,0.0058078909819980545,,
wrinkle,avgmonth_tmp,-0.21743979296555246,0.030705765841069054,,
volume,avgmonth_tmp,-0.21448795088059322,0.008534506691565856,,
entry,avgmonth_tmp,-0.21179004766769743,0.204711189211445,,
combination,avgmonth_tmp,-0.2088491656322851,0.15383812141750702,,
evidence,avgmonth_tmp,-0.20852362851244832,0.053462346191903244,,
squirrel,avgmonth_tmp,-0.20657952836225055,0.15346143972386145,,
plow,avgmonth_tmp,-0.20635382347796163,0.08429191994039822,,
speed,avgmonth_tmp,-0.20626851670498852,0.02880202153790697,,
flap,avgmonth_tmp,-0.20607489695481201,0.015207181731862605,,
hill,avgmonth_tmp,-0.20595358726499532,0.0038796116481033065,,
bed,avgmonth_tmp,-0.20569456837475567,9.746993513635234e-6,,
bill,avgmonth_tmp,-0.20449709451886902,0.10015678210707371,,
shore,avgmonth_tmp,-0.20406017767717627,0.1134418811840385,,
moment,avgmonth_tmp,-0.203978513585815,0.04288892878888215,,
hammer,avgmonth_tmp,-0.20135146273589194,0.0030582733157033335,,
advantage,avgmonth_tmp,-0.19942291820931643,0.07266666963397825,,
bug,avgmonth_tmp,-0.19896489899807895,0.08641852618660378,,
bucket,avgmonth_tmp,-0.19796309275378784,0.024475506938922566,,
circumstance,avgmonth_tmp,-0.19749379912546647,0.013488202627474386,,
service,avgmonth_tmp,-0.19726568987908383,0.03181184140280391,,
bullet,avgmonth_tmp,-0.19709403657148034,0.06124913421671431,,
earring,avgmonth_tmp,-0.19685281285449865,0.07077938982907502,,
stroke,avgmonth_tmp,-0.19461903753801027,0.06526999003502125,,
record,avgmonth_tmp,-0.19448548224947101,0.06247344429965833,,
exception,avgmonth_tmp,-0.19413562240276494,0.055216557517932294,,
swimming,avgmonth_tmp,-0.19274492278115457,0.038945515529571026,,
fact,avgmonth_tmp,-0.19268501442955904,0.011705351134589932,,
hawk,avgmonth_tmp,-0.19083423912452138,0.0412631106629847,,
herd,avgmonth_tmp,-0.19056510625666964,0.06607116507670167,,
bladder,avgmonth_tmp,-0.18995342050676398,0.014289316185175942,,
account,avgmonth_tmp,-0.1891018231488785,0.039202829032034245,,
brother-in-law,avgmonth_tmp,-0.18771595020874043,0.059312413066851734,,
plug,avgmonth_tmp,-0.18754074902484952,0.043151455660251976,,
absence,avgmonth_tmp,-0.18448367397798968,0.014440682047297596,,
feature,avgmonth_tmp,-0.1843483779399451,0.023182162263136963,,
store,avgmonth_tmp,-0.18392153936284322,0.008984087158759618,,
river,avgmonth_tmp,-0.1833667765544555,0.02743907762218631,,
shaft,avgmonth_tmp,-0.18248392357125248,0.14248739536132585,,
view,avgmonth_tmp,-0.18200301334939994,0.0041904440195721674,,
calf,avgmonth_tmp,-0.18151347136008422,0.003921725414587966,,
list,avgmonth_tmp,-0.18145807170768483,0.055612345980586494,,
rock,avgmonth_tmp,-0.18139779662654565,0.018979231626565375,,
culture,avgmonth_tmp,-0.18118435977342515,0.044478788822763606,,
circle,avgmonth_tmp,-0.18098763462464504,0.0059020925807771185,,
north,avgmonth_tmp,-0.17908873395972788,0.06474719634513594,,
pond,avgmonth_tmp,-0.17891866893143557,0.04469686545241263,,
rattle,avgmonth_tmp,-0.17813459116208472,0.11168862716673444,,
formation,avgmonth_tmp,-0.1773124265422552,0.033911189829460585,,
opportunity,avgmonth_tmp,-0.17614181149938554,0.0533097698510197,,
sister-in-law,avgmonth_tmp,-0.17591756196685596,0.04119977256882621,,
range,avgmonth_tmp,-0.1749356776819314,0.07427678356178326,,
echo,avgmonth_tmp,-0.17339324661848493,0.0431526221650851,,
grammar,avgmonth_tmp,-0.17093378156282735,0.08762278628411245,,
material,avgmonth_tmp,-0.17089528603347864,0.004144023469092705,,
copper,avgmonth_tmp,-0.170544412134494,0.1302873997329844,,
bar,avgmonth_tmp,-0.16836554554354446,0.09404439570190534,,
curl,avgmonth_tmp,-0.1681935764519424,0.014665914182224665,,
eagle,avgmonth_tmp,-0.16796109824204747,0.05770711133916862,,
dog,avgmonth_tmp,-0.1678239168910944,0.005161806427763156,,
choice,avgmonth_tmp,-0.16699915020685324,0.05066396912087071,,
grant,avgmonth_tmp,-0.1669439359545604,0.099537441746495,,
sight,avgmonth_tmp,-0.16672362672486554,0.003330598634271824,,
stream,avgmonth_tmp,-0.16517414510185596,0.08864872103894991,,
paint,avgmonth_tmp,-0.16510475989748016,0.06230490365225321,,
drill,avgmonth_tmp,-0.16484253926955766,0.13197882051031606,,
distinction,avgmonth_tmp,-0.16483257363361398,0.10510836666095591,,
door,avgmonth_tmp,-0.1647566753930855,3.408851316061577e-5,,
dwelling,avgmonth_tmp,-0.16209557862409385,0.16046260249985955,,
gas,avgmonth_tmp,-0.16113494674097525,0.2030725192666779,,
shape,avgmonth_tmp,-0.16101086210358206,0.006302872086388898,,
log,avgmonth_tmp,-0.1609906383598362,0.05603323900970613,,
frame,avgmonth_tmp,-0.16062524264996153,0.005149253518784174,,
tool,avgmonth_tmp,-0.16051048325194558,0.04061149693960806,,
hug,avgmonth_tmp,-0.15941313958561426,0.12214350328199809,,
wind,avgmonth_tmp,-0.15926177775824174,0.0017412708079007232,,
foot,avgmonth_tmp,-0.15780612051690987,3.870748882431265e-4,,
rake,avgmonth_tmp,-0.15779796968936993,0.033638174164450654,,
benefit,avgmonth_tmp,-0.15751569946856475,0.1081076340568169,,
peak,avgmonth_tmp,-0.15556709075763442,0.12244921566359518,,
wheel,avgmonth_tmp,-0.15504778415770798,0.051544580536953315,,
spy,avgmonth_tmp,-0.15396605605757707,0.08605817936001034,,
fern,avgmonth_tmp,-0.15304332279720256,0.31973596462162573,,
waterfall,avgmonth_tmp,-0.1529853127177755,0.10775832851497384,,
wine,avgmonth_tmp,-0.15253333294451502,0.2825701032306226,,
shelf,avgmonth_tmp,-0.1521062567776653,0.1377970958964007,,
author,avgmonth_tmp,-0.152075039449396,0.15484313633869765,,
