word,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,area,langfamily,longitude,latitude,population,subsistence
ice_group,-7.819588428807819,0.05596561153807331,converged,-4.612375869921529,0.035094444979393374,cent2128,converged,3.2072125588862903,48.55084919705566,Central Siberian Yupik,Eurasia,Eskimo-Aleut,189.728,63.4308,1130,hunter-gatherer
ice_group,-7.819588428807819,0.05596561153807331,converged,-4.456053761388176,0.045115729459517855,east2534,converged,3.3635346674196427,46.789925930335784,Eastern Canadian Inuktitut,North America,Eskimo-Aleut,284.3861,62.1735,14000,hunter-gatherer
snow_group,-7.499973961955537,0.05478824718083926,converged,-3.9670004309990614,0.0635469861744965,east2534,converged,3.532973530956476,42.10706141981239,Eastern Canadian Inuktitut,North America,Eskimo-Aleut,284.3861,62.1735,14000,hunter-gatherer
ice_group,-7.819588428807819,0.05596561153807331,converged,-4.912216311457572,0.06797720321489056,tana1289,converged,2.9073721173502474,33.0190317163145,Dena'ina,North America,Athabaskan-Eyak-Tlingit,209.241,60.4712,100,hunter-gatherer
dance_group,-6.883968111771383,0.05019304054215684,converged,-4.808723962889257,0.046512683943355906,tiko1237,converged,2.075244148882126,30.32618178633002,Tikopia,Papunesia,Austronesian,168.822,-12.2766,3320,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-5.286109532579349,0.06581915810601202,ahte1237,converged,2.53347889622847,29.323946654277847,Ahtena,North America,Athabaskan-Eyak-Tlingit,215.111,61.7068,100,hunter-gatherer
dance_group,-6.883968111771383,0.05019304054215684,converged,-5.139522586228565,0.0437712777404085,cent2131,converged,1.744445525542818,26.1937436484807,Central Tarahumara,North America,Uto-Aztecan,252.846,27.5648,55000,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-5.072929483162656,0.07923775042944538,ahte1237,converged,2.4270444787928813,25.19387768916124,Ahtena,North America,Athabaskan-Eyak-Tlingit,215.111,61.7068,100,hunter-gatherer
snow_group,-7.499973961955537,0.05478824718083926,converged,-5.446363663771595,0.06065704491013915,lako1247,converged,2.0536102981839424,25.124437711638468,Lakota,North America,Siouan,256.05,46.3699,6189,hunter-gatherer
snow_group,-7.499973961955537,0.05478824718083926,converged,-5.289289909931525,0.0719106514968612,cent2128,converged,2.2106840520240123,24.453371718341582,Central Siberian Yupik,Eurasia,Eskimo-Aleut,189.728,63.4308,1130,hunter-gatherer
dance_group,-6.883968111771383,0.05019304054215684,converged,-4.620118147425397,0.07799643315295485,sene1264,converged,2.2638499643459857,24.407770361966616,Seneca,North America,Iroquoian,282.47,42.56,175,other
wind_group,-5.878775686911985,0.026640083388817612,converged,-4.598256094753938,0.045309895203267794,tuam1242,converged,1.280519592158047,24.362445746715522,Tuamotuan,Papunesia,Austronesian,213.678245,-16.17259,14400,hunter-gatherer
dance_group,-6.883968111771383,0.05019304054215684,converged,-5.452159604400463,0.031180191030400782,trin1276,converged,1.4318085073709197,24.231264453322023,Trinidadian Creole English,South America,Indo-European,298.5829,10.4208,9600,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-5.135573988399135,0.08905539084040039,nort2671,converged,2.3643999735564023,22.613038661413736,North Saami,Eurasia,Uralic,22.1113,68.725,20700,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-6.038107800494618,0.06070620406931432,icel1247,converged,1.7814806283132008,21.576050137475395,Icelandic,Eurasia,Indo-European,-19.0212,63.4837,230000,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-5.20576266814827,0.09455743539986683,tana1289,converged,2.294211293807267,20.993228431442823,Dena'ina,North America,Athabaskan-Eyak-Tlingit,209.241,60.4712,100,hunter-gatherer
ice_group,-7.819588428807819,0.05596561153807331,converged,-6.04045960834234,0.06409459272339836,lako1247,converged,1.7791288204654787,20.908848662115812,Lakota,North America,Siouan,256.05,46.3699,6189,hunter-gatherer
snow_group,-7.499973961955537,0.05478824718083926,converged,-5.783567536920998,0.06138853781671818,nava1243,converged,1.7164064250345392,20.86008276798795,Navajo,North America,Athabaskan-Eyak-Tlingit,250.62,36.33,149000,other
rain_group,-6.3028006448357194,0.02755628677845044,converged,-4.977980696049496,0.0575511203727311,ngaa1240,converged,1.3248199487862236,20.762549693308127,Ngaanyatjarra,Australia,Pama-Nyungan,127.602,-25.7514,990,hunter-gatherer
snow_group,-7.499973961955537,0.05478824718083926,converged,-5.396551564378663,0.08666507834212127,plai1258,converged,2.1034223975768747,20.5150072771821,Plains Cree,North America,Algic,249.537,51.2437,34100,hunter-gatherer
