combo_name,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,langfamily,area
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-4.2881434164217165,0.04096781362941326,ngaa1240,converged,5.761902780799517,111.75432903074547,Ngaanyatjarra,Pama-Nyungan,Australia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-4.747173653552169,0.06817827743443608,ngal1292,converged,5.302872543669064,70.68479787801475,Ngalkbun,Gunwinyguan,Australia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-4.964634984674492,0.07933239117326162,yank1247,converged,5.085411212546741,59.628313143590034,Yankunytjatjara,Pama-Nyungan,Australia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-5.365175829687102,0.09513748502604805,mudb1240,converged,4.684870367534131,46.77608380349404,Mudburra,Pama-Nyungan,Australia
reindeercombo,-9.5404538238925,0.023695910125812215,converged,-3.9810167251875352,0.11989444542350158,nort2671,converged,5.559437098704965,45.48949711853188,North Saami,Uralic,Eurasia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-5.090908744391414,0.11214680336438533,yand1253,converged,4.959137452829819,42.59189212265652,Yandruwandha,Pama-Nyungan,Australia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-5.724928039538552,0.09683127279632528,pint1250,converged,4.325118157682681,42.50080594387483,Pintupi-Luritja,Pama-Nyungan,Australia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-6.0854006772921805,0.10217814617057633,warl1254,converged,3.9646455199290527,37.099280002875645,Warlpiri,Pama-Nyungan,Australia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-5.418580983162722,0.12153633233245158,twee1234,converged,4.631465214058511,36.903211294379254,Tweed-Albert,Pama-Nyungan,Australia
breadfruitcombo,-10.12348200200787,0.03739525991148053,converged,-4.660477450779148,0.15322409701141115,chuu1238,converged,5.463004551228722,34.6370607955181,Chuukese,Austronesian,Papunesia
breadfruitcombo,-10.12348200200787,0.03739525991148053,converged,-6.469408352007828,0.11714088050150784,samo1305,converged,3.6540736500000426,29.716371610420133,Samoan,Austronesian,Papunesia
reindeercombo,-9.5404538238925,0.023695910125812215,converged,-5.497240583046534,0.1342594971323324,ahte1237,converged,4.043213240845966,29.656556811955845,Ahtena,Athabaskan-Eyak-Tlingit,North America
reindeercombo,-9.5404538238925,0.023695910125812215,converged,-5.725662945493355,0.12806779900185208,cent2128,converged,3.814790878399145,29.29012541418684,Central Siberian Yupik,Eskimo-Aleut,Eurasia
pandanuscombo,-9.397005167434846,0.03198014117886426,converged,-4.149856200763009,0.1884724013743915,gilb1244,converged,5.247148966671838,27.448077620516386,Gilbertese,Austronesian,Papunesia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-5.794996892799537,0.1527304014313566,mart1256,converged,4.255049304421696,27.29249921668646,Martu Wangka,Pama-Nyungan,Australia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-5.843820431399926,0.15452675513109326,kumb1268,converged,4.206225765821308,26.67813998328538,Kumbainggar,Pama-Nyungan,Australia
pandanuscombo,-9.397005167434846,0.03198014117886426,converged,-6.743407579203167,0.09562819789243399,hawa1245,converged,2.65359758823168,26.316514284097764,Hawaiian,Austronesian,Papunesia
reindeercombo,-9.5404538238925,0.023695910125812215,converged,-6.055570543910783,0.1305276335440858,east2534,converged,3.484883279981717,26.269072770095953,Eastern Canadian Inuktitut,Eskimo-Aleut,North America
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-5.779555726143046,0.16037536855970416,muru1266,converged,4.270490471078187,26.13488334182201,Muruwari,Pama-Nyungan,Australia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-5.797207176193341,0.16464835817806875,west2443,converged,4.252839021027892,25.375271044777723,Western Victoria,Pama-Nyungan,Australia
breadfruitcombo,-10.12348200200787,0.03739525991148053,converged,-4.547357497542089,0.21964749326242144,pulu1242,converged,5.576124504465781,25.026584659124335,Puluwatese,Austronesian,Papunesia
pandanuscombo,-9.397005167434846,0.03198014117886426,converged,-4.751843011633896,0.18562321072046328,mars1254,converged,4.645162155800951,24.66135839379292,Marshallese,Austronesian,Papunesia
breadfruitcombo,-10.12348200200787,0.03739525991148053,converged,-7.23579371868582,0.11294364433360178,hawa1245,converged,2.88768828332205,24.271711520754195,Hawaiian,Austronesian,Papunesia
breadfruitcombo,-10.12348200200787,0.03739525991148053,converged,-4.893761597733981,0.2144102938770421,mars1254,converged,5.229720404273889,24.028460985256906,Marshallese,Austronesian,Papunesia
pandanuscombo,-9.397005167434846,0.03198014117886426,converged,-4.919539240437366,0.18714729058661503,kala1397,converged,4.47746592699748,23.582981125209898,Kalam,Nuclear Trans New Guinea,Papunesia
acorncombo,-9.766340607767008,0.02473314409988938,converged,-4.9126156194734545,0.20434695679447723,yana1271,converged,4.853724988293553,23.58028076835615,Yana,isolate_yana1271,North America
reindeercombo,-9.5404538238925,0.023695910125812215,converged,-5.855100435235767,0.1561224193345099,tana1289,converged,3.6853533886567336,23.33825090264962,Dena'ina,Athabaskan-Eyak-Tlingit,North America
breadfruitcombo,-10.12348200200787,0.03739525991148053,converged,-4.869151839046396,0.22375040223449416,wole1240,converged,5.254330162961474,23.161745988065096,Woleaian,Austronesian,Papunesia
reindeercombo,-9.5404538238925,0.023695910125812215,converged,-5.6024350711137805,0.17158454458631778,tana1290,converged,3.93801875277872,22.73511907271622,Tanacross,Athabaskan-Eyak-Tlingit,North America
tarocombo,-8.57659127450449,0.031124024220865475,converged,-5.813317479417334,0.11824966807978188,hawa1245,converged,2.763273795087157,22.59845729727207,Hawaiian,Austronesian,Papunesia
camelcombo,-9.070214790008238,0.027086845696464724,converged,-6.617066560388216,0.1055265214475692,stan1318,converged,2.453148229620022,22.51680541091908,Standard Arabic,Afro-Asiatic,Eurasia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-5.884621451504003,0.18282796142540808,bayu1240,converged,4.16542474571723,22.456507898134078,Bayungu,Pama-Nyungan,Australia
tarocombo,-8.57659127450449,0.031124024220865475,converged,-5.604525698601844,0.12887041953548806,samo1305,converged,2.972065575902647,22.417892576216747,Samoan,Austronesian,Papunesia
breadfruitcombo,-10.12348200200787,0.03739525991148053,converged,-6.732471132318773,0.14705811356611967,tahi1242,converged,3.3910108696890973,22.347766880472207,Tahitian,Austronesian,Papunesia
pandanuscombo,-9.397005167434846,0.03198014117886426,converged,-4.996589427540183,0.1960248464555733,angg1239,converged,4.4004157398946635,22.15535066786203,Angguruk Yali,Nuclear Trans New Guinea,Papunesia
breadfruitcombo,-10.12348200200787,0.03739525991148053,converged,-5.141577848096868,0.222735886041894,pohn1238,converged,4.981904153911002,22.058149037564302,Pohnpeian,Austronesian,Papunesia
pandanuscombo,-9.397005167434846,0.03198014117886426,converged,-4.964711705218256,0.20630664144179256,kapi1249,converged,4.432293462216591,21.230449354067783,Kapingamarangi,Austronesian,Papunesia
breadfruitcombo,-10.12348200200787,0.03739525991148053,converged,-5.20924405403456,0.22851982522837536,paam1238,converged,4.9142379479733105,21.222372182479393,Paama,Austronesian,Papunesia
kangaroocombo,-10.050046197221233,0.03130388228682051,converged,-5.999113788367961,0.18921651947269225,adny1235,converged,4.0509324088532725,21.12187463586741,Adnyamathanha,Pama-Nyungan,Australia
reindeercombo,-9.5404538238925,0.023695910125812215,converged,-6.411285958727001,0.15178652142768922,aleu1260,converged,3.129167865165499,20.368869814546706,Aleut,Eskimo-Aleut,North America
