combo_name,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,langfamily,area
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-3.9756638970674154,0.0407668513443297,nort2671,converged,5.542396642449697,69.10451568068878,North Saami,Uralic,Eurasia
kangaroocombo,-9.974158515696645,0.09394488623664612,converged,-4.284522410645806,0.04096881866536488,ngaa1240,converged,5.689636105050839,55.51436309461076,Ngaanyatjarra,Pama-Nyungan,Australia
camelcombo,-9.354768674442415,0.06870242193625022,converged,-4.4529909766730995,0.0557063870951954,rend1243,converged,4.901777697769315,55.41925959419461,Rendille,Afro-Asiatic,Africa
ferncombo,-8.681090070446142,0.07750391371625642,converged,-4.356372021052659,0.04359167665107534,nucl1706,converged,4.324718049393484,48.63505739087118,Neo-Mandaic,Afro-Asiatic,Eurasia
terrestrialmammalscombo,-9.65492064858628,0.07468792318462837,converged,-5.1207843264910435,0.05790714857785661,kala1397,converged,4.534136322095237,47.9768571810435,Kalam,Nuclear Trans New Guinea,Papunesia
snowcombo,-8.482778758062118,0.08187564979521811,converged,-3.9843415204862906,0.04720763464474744,east2534,converged,4.498437237575827,47.59735991659037,Eastern Canadian Inuktitut,Eskimo-Aleut,North America
kangaroocombo,-9.974158515696645,0.09394488623664612,converged,-4.740796157647981,0.06818015255298457,ngal1292,converged,5.233362358048664,45.08475530652951,Ngalkbun,Gunwinyguan,Australia
mollusccombo,-8.554917321660508,0.066622943699196,converged,-5.036109689377826,0.047451824409602994,romb1245,converged,3.518807632282682,43.02025497537707,Romblomanon,Austronesian,Papunesia
acorncombo,-9.845478275954255,0.07426202821494192,converged,-4.9004197067934845,0.0880316145817081,yana1271,converged,4.9450585691607705,42.93657571620912,Yana,isolate_yana1271,North America
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-5.722322771527441,0.06073302584380918,cent2128,converged,3.795737767989671,41.26996184423105,Central Siberian Yupik,Eskimo-Aleut,Eurasia
kangaroocombo,-9.974158515696645,0.09394488623664612,converged,-4.957673942612882,0.07933431118779583,yank1247,converged,5.016484573083764,40.79713778104578,Yankunytjatjara,Pama-Nyungan,Australia
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-5.491906771698859,0.07288898535078514,ahte1237,converged,4.026153767818253,40.09467830158051,Ahtena,Athabaskan-Eyak-Tlingit,North America
pandanuscombo,-8.769527052275503,0.09241097534665392,converged,-4.748068858661792,0.046574450818401836,mars1254,converged,4.021458193613711,38.860622319308405,Marshallese,Austronesian,Papunesia
terrestrialmammalscombo,-9.65492064858628,0.07468792318462837,converged,-5.686941287116335,0.07100817274895872,aleu1260,converged,3.9679793614699452,38.503305705931055,Aleut,Eskimo-Aleut,North America
emuscombo,-10.000166399064998,0.0878225135921182,converged,-5.568073452087168,0.07706977726474336,ngaa1240,converged,4.43209294697783,37.93167840045285,Ngaanyatjarra,Pama-Nyungan,Australia
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-5.615936933987446,0.07995378468942031,east2534,converged,3.902123605529666,36.93231125879816,Eastern Canadian Inuktitut,Eskimo-Aleut,North America
pandanuscombo,-8.769527052275503,0.09241097534665392,converged,-4.9151294429814865,0.05231943055464184,kala1397,converged,3.8543976092940166,36.29590104764564,Kalam,Nuclear Trans New Guinea,Papunesia
mollusccombo,-8.554917321660508,0.066622943699196,converged,-4.936205985183974,0.07789326204879667,gela1263,converged,3.618711336476534,35.30495970654201,Gela,Austronesian,Papunesia
kangaroocombo,-9.974158515696645,0.09394488623664612,converged,-5.358454323110093,0.09513897774500746,mudb1240,converged,4.615704192586552,34.52151427408023,Mudburra,Pama-Nyungan,Australia
acorncombo,-9.845478275954255,0.07426202821494192,converged,-5.658546173222513,0.0963926957879437,nort2952,converged,4.186932102731742,34.40893017669902,Northeast Maidu,Maiduan,North America
lioncombo,-8.787099144975214,0.07406224107958682,converged,-5.566602529393472,0.0633663463390499,mamb1296,converged,3.220496615581742,33.040712274855785,Mambwe-Lungu,Atlantic-Congo,Africa
lioncombo,-8.787099144975214,0.07406224107958682,converged,-5.550406348590275,0.06635516777910053,aleu1260,converged,3.236692796384939,32.549351227477665,Aleut,Eskimo-Aleut,North America
beercombo,-8.668034349927114,0.08231804308731672,converged,-5.128190495997738,0.0722855108210128,mamb1296,converged,3.5398438539293755,32.31224621654841,Mambwe-Lungu,Atlantic-Congo,Africa
snowcombo,-8.482778758062118,0.08187564979521811,converged,-5.119042206927969,0.0679138127669706,ahte1237,converged,3.3637365511341484,31.6211216189131,Ahtena,Athabaskan-Eyak-Tlingit,North America
kangaroocombo,-9.974158515696645,0.09394488623664612,converged,-5.720066610971058,0.0968320397166845,pint1250,converged,4.254091904725588,31.53162059746078,Pintupi-Luritja,Pama-Nyungan,Australia
pandanuscombo,-8.769527052275503,0.09241097534665392,converged,-4.987441557635478,0.07835282578975397,angg1239,converged,3.7820854946400253,31.216470077532534,Angguruk Yali,Nuclear Trans New Guinea,Papunesia
dancecombo,-7.038207679122599,0.052532628497075705,converged,-4.843889579392097,0.047325735706928856,tiko1237,converged,2.194318099730502,31.03419908470877,Tikopia,Austronesian,Papunesia
ricecombo,-7.716625885005931,0.10768770995458629,converged,-3.379024747542474,0.09050174183881257,tuwa1243,converged,4.337601137463457,30.835951430787937,Tuwali Ifugao,Austronesian,Papunesia
tarocombo,-7.987538071156687,0.09222709475589175,converged,-3.8408974627350316,0.09871900220474619,vure1239,converged,4.146640608421655,30.6937358694457,Vurës,Austronesian,Papunesia
weathercombo,-5.071370521488293,0.025768525648621546,converged,-3.489004559819362,0.04476969500001206,east2534,converged,1.5823659616689314,30.632761183756287,Eastern Canadian Inuktitut,Eskimo-Aleut,North America
swordcombo,-8.56129559828414,0.06521970276673147,converged,-6.050896943575777,0.05063171110864934,anci1244,converged,2.5103986547083625,30.40467176406802,Ancient Hebrew,Afro-Asiatic,Eurasia
snowcombo,-8.482778758062118,0.08187564979521811,converged,-5.5395370581966095,0.054551312193374904,lako1247,converged,2.943241699865508,29.91577034970612,Lakota,Siouan,North America
snowcombo,-8.482778758062118,0.08187564979521811,converged,-5.4413113880284705,0.06107889925068918,cent2128,converged,3.041467370033647,29.775047300438324,Central Siberian Yupik,Eskimo-Aleut,Eurasia
emuscombo,-10.000166399064998,0.0878225135921182,converged,-5.769562212353453,0.11340426503599872,ngal1292,converged,4.230604186711545,29.49512162479071,Ngalkbun,Gunwinyguan,Australia
doctorcombo,-8.005732713763168,0.05127584858413543,converged,-5.778195669677078,0.05607580879511144,mush1238,converged,2.2275370440860893,29.315512446866283,Mushungulu,Atlantic-Congo,Africa
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-5.846707592267995,0.10798844690813315,tana1289,converged,3.671352947249117,28.640429010159615,Dena'ina,Athabaskan-Eyak-Tlingit,North America
snowcombo,-8.482778758062118,0.08187564979521811,converged,-5.214640628673102,0.08078726010971089,nort2671,converged,3.2681381293890155,28.413003378261582,North Saami,Uralic,Eurasia
pandanuscombo,-8.769527052275503,0.09241097534665392,converged,-5.484390049005436,0.07015917061695345,tuam1242,converged,3.2851370032700675,28.313732122886968,Tuamotuan,Austronesian,Papunesia
kangaroocombo,-9.974158515696645,0.09394488623664612,converged,-6.077833356589162,0.1021790270635609,warl1254,converged,3.8963251591074837,28.070956712671098,Warlpiri,Pama-Nyungan,Australia
horsecombo,-7.348897937841053,0.08100031673602666,converged,-4.6993762436194615,0.052573739564934635,lako1247,converged,2.6495216942215913,27.437333945859532,Lakota,Siouan,North America
horsecombo,-7.348897937841053,0.08100031673602666,converged,-4.848738612193208,0.0426368895632672,nava1243,converged,2.5001593256478447,27.313209715048053,Navajo,Athabaskan-Eyak-Tlingit,North America
bananacombo,-7.8406841945420345,0.10455226749979374,converged,-4.5888875467369905,0.06331341059138777,wamp1247,converged,3.251796647805044,26.604279496735426,Wampar,Austronesian,Papunesia
snowcombo,-8.482778758062118,0.08187564979521811,converged,-5.479944310706196,0.0780410634330526,plai1258,converged,3.002834447355922,26.547749649893902,Plains Cree,Algic,North America
honeycombo,-8.326604129035436,0.06234317950991122,converged,-5.641997413339477,0.07995005550823737,ngaa1240,converged,2.684606715695959,26.47963091789815,Ngaanyatjarra,Pama-Nyungan,Australia
camelcombo,-9.354768674442415,0.06870242193625022,converged,-6.534389432739113,0.0817089397488651,mush1238,converged,2.820379241703302,26.419474214576027,Mushungulu,Atlantic-Congo,Africa
ricecombo,-7.716625885005931,0.10768770995458629,converged,-3.8936068890431765,0.09698874891359255,cent2292,converged,3.8230189959627547,26.379164184282143,Central Bontoc,Austronesian,Papunesia
ricecombo,-7.716625885005931,0.10768770995458629,converged,-4.0362841797928,0.08937858599664492,bata1298,converged,3.680341705213131,26.298102894781753,Batad Ifugao,Austronesian,Papunesia
snowcombo,-8.482778758062118,0.08187564979521811,converged,-5.315841550508009,0.08845220285417613,tana1289,converged,3.166937207554109,26.275155361065213,Dena'ina,Athabaskan-Eyak-Tlingit,North America
swordcombo,-8.56129559828414,0.06521970276673147,converged,-6.158963792845198,0.06448373204097438,icel1247,converged,2.4023318054389415,26.19325797638878,Icelandic,Indo-European,Eurasia
tarocombo,-7.987538071156687,0.09222709475589175,converged,-4.280844627897192,0.10733887684352188,anei1239,converged,3.7066934432594945,26.19229833201452,Aneityum,Austronesian,Papunesia
