groupname,level,glottocode,domain,basic,combo_name,sign,scholarly,langname,convergence,convergence_set,zeta,words
North Saami,single,nort2671,noun,1,reindeercombo,positive,1,North Saami,converged,converged,69.096398193292,"caribou, reindeer"
Saami,group,nort2671,noun,1,reindeercombo,positive,1,North Saami,converged,converged,69.096398193292,"caribou, reindeer"
Kalam,single,kala1397,noun,0,terrestrialmammalscombo,positive,1,Kalam,converged,converged,47.97587093585314,mammal
Eskimo-Aleut,group,east2534,noun,1,snowcombo,positive,1,Eastern Canadian Inuktitut,converged,converged,47.57795496294669,"snow, snowfall"
Dalabon,single,ngal1292,noun,1,kangaroocombo,positive,1,Ngalkbun,converged,converged,45.085920876652565,kangaroo
Yana,single,yana1271,noun,1,acorncombo,positive,1,Yana,converged,converged,42.93788913009321,acorn
Marshallese,single,mars1254,noun,1,pandanuscombo,positive,1,Marshallese,converged,converged,38.860679048691566,"pandanus, pandani"
Australian languages,group,ngaa1240,noun,1,emuscombo,positive,1,Ngaanyatjarra,converged,converged,37.93307488050274,emu
Eskimo-Aleut,group,cent2128,noun,1,snowcombo,positive,1,Central Siberian Yupik,converged,converged,29.766247889778775,"snow, snowfall"
Australian languages,group,ngal1292,noun,1,emuscombo,positive,1,Ngalkbun,converged,converged,29.496391140652914,emu
North Saami,single,nort2671,noun,1,snowcombo,positive,1,North Saami,converged,converged,28.399869791958974,"snow, snowfall"
Saami,group,nort2671,noun,1,snowcombo,positive,1,North Saami,converged,converged,28.399869791958974,"snow, snowfall"
Asian,group,cent2292,noun,1,ricecombo,positive,1,Central Bontoc,converged,converged,26.378051086584644,rice
East and southeast asian,group,cent2292,noun,1,ricecombo,positive,1,Central Bontoc,converged,converged,26.378051086584644,rice
Asian,group,bata1298,noun,1,ricecombo,positive,1,Batad Ifugao,converged,converged,26.29515984081672,rice
East and southeast asian,group,bata1298,noun,1,ricecombo,positive,1,Batad Ifugao,converged,converged,26.29515984081672,rice
Aneityum,single,anei1239,noun,1,tarocombo,positive,1,Aneityum,converged,converged,26.197323322941283,"taro, cocoyam, dasheen, eddo"
Inuktitut,group,east2534,noun,1,icecombo,positive,1,Eastern Canadian Inuktitut,converged,converged,25.89381070493226,ice
Eskimo-Aleut,group,east2534,noun,1,icecombo,positive,1,Eastern Canadian Inuktitut,converged,converged,25.89381070493226,ice
Asian,group,tbol1240,noun,1,ricecombo,positive,1,Tboli,converged,converged,25.77167988877795,rice
East and southeast asian,group,tbol1240,noun,1,ricecombo,positive,1,Tboli,converged,converged,25.77167988877795,rice
Yupik,group,cent2128,noun,1,icecombo,positive,1,Central Siberian Yupik,converged,converged,25.59886129560798,ice
Eskimo-Aleut,group,cent2128,noun,1,icecombo,positive,1,Central Siberian Yupik,converged,converged,25.59886129560798,ice
Asian,group,yaka1277,noun,1,ricecombo,positive,1,Yakan,converged,converged,24.325665342128822,rice
East and southeast asian,group,yaka1277,noun,1,ricecombo,positive,1,Yakan,converged,converged,24.325665342128822,rice
Polynesian,group,taku1257,noun,1,tarocombo,positive,1,Takuu,converged,converged,23.938811399404557,"taro, cocoyam, dasheen, eddo"
Australian languages,group,yiry1245,noun,1,emuscombo,positive,1,Yir-Yoront,converged,converged,23.65221100904374,emu
Australian languages,group,nung1290,noun,1,emuscombo,positive,1,Wubuy,converged,converged,22.840758049262316,emu
Asian,group,newa1246,noun,1,ricecombo,positive,1,Kathmandu Valley Newari,converged,converged,22.094014977817118,rice
Asian,group,hmon1333,noun,1,ricecombo,positive,1,Hmong Daw,converged,converged,21.87047829404457,rice
East and southeast asian,group,hmon1333,noun,1,ricecombo,positive,1,Hmong Daw,converged,converged,21.87047829404457,rice
Polynesian,group,tiko1237,noun,1,tarocombo,positive,1,Tikopia,converged,converged,21.843685074549313,"taro, cocoyam, dasheen, eddo"
Marshallese,single,mars1254,noun,1,coconutcombo,positive,1,Marshallese,converged,converged,21.613306811351503,"coconut, cocoanut"
Oceanic languages,group,mars1254,noun,1,coconutcombo,positive,1,Marshallese,converged,converged,21.613306811351503,"coconut, cocoanut"
Asian,group,casi1235,noun,1,ricecombo,positive,1,Casiguran-Nagtipunan Agta,converged,converged,21.5683853280486,rice
East and southeast asian,group,casi1235,noun,1,ricecombo,positive,1,Casiguran-Nagtipunan Agta,converged,converged,21.5683853280486,rice
Polynesian,group,samo1305,noun,1,tarocombo,positive,1,Samoan,converged,converged,21.198970797305282,"taro, cocoyam, dasheen, eddo"
Australian languages,group,yank1247,noun,1,emuscombo,positive,1,Yankunytjatjara,converged,converged,21.14427116227161,emu
Asian,group,bara1370,noun,1,ricecombo,positive,1,Baram Kayan,converged,converged,20.93298652064405,rice
East and southeast asian,group,bara1370,noun,1,ricecombo,positive,1,Baram Kayan,converged,converged,20.93298652064405,rice
Oceanic languages,group,toke1240,noun,1,coconutcombo,positive,1,Tokelau,converged,converged,20.58917435647718,"coconut, cocoanut"
Polynesian,group,raro1241,noun,1,tarocombo,positive,1,Southern Cook Island Maori,converged,converged,20.504518361601335,"taro, cocoyam, dasheen, eddo"
Asian,group,hmon1264,noun,1,ricecombo,positive,1,Hmong Njua,converged,converged,20.435100259970774,rice
East and southeast asian,group,hmon1264,noun,1,ricecombo,positive,1,Hmong Njua,converged,converged,20.435100259970774,rice
Asian,group,iban1264,noun,1,ricecombo,positive,1,Iban,converged,converged,20.34240979771699,rice
East and southeast asian,group,iban1264,noun,1,ricecombo,positive,1,Iban,converged,converged,20.34240979771699,rice
Oceanic languages,group,yape1248,noun,1,coconutcombo,positive,1,Yapese,converged,converged,20.22777021059814,"coconut, cocoanut"
Oceanic languages,group,pulu1242,noun,1,coconutcombo,positive,1,Puluwatese,converged,converged,20.0104694381787,"coconut, cocoanut"
Australian languages,group,mudb1240,noun,1,emuscombo,positive,1,Mudburra,converged,converged,19.65981107522185,emu
Asian,group,akha1245,noun,1,ricecombo,positive,1,Akha,converged,converged,19.635930441549966,rice
East and southeast asian,group,akha1245,noun,1,ricecombo,positive,1,Akha,converged,converged,19.635930441549966,rice
Kalam,single,kala1397,noun,1,frogcombo,positive,1,Kalam,converged,converged,19.538683205989134,"frog, toad, anuran, batrachian, salientian"
Mayan,group,tzot1259,noun,1,corncombo,positive,1,Tzotzil,converged,converged,19.525592705235983,"corn, maize"
Oceanic languages,group,taku1257,noun,1,coconutcombo,positive,1,Takuu,converged,converged,19.516836423738535,"coconut, cocoanut"
Marshallese,single,mars1254,noun,1,breadfruitcombo,positive,1,Marshallese,converged,converged,19.50525002605279,breadfruit
Polynesian,group,niue1239,noun,1,tarocombo,positive,1,Niuean,converged,converged,19.187010054746615,"taro, cocoyam, dasheen, eddo"
