group,predictor,coefficient,p_val,coefficient_noarea,p_val_noarea,warnings_m1,warnings_m2,warnings_m1_a,warnings_m2_a
snow_group,avgmonth_tmp,-1.0789070762931305,7.698718797065283e-18,-1.243326471363255,3.414120863962837e-22,,,,
ice_group,avgmonth_tmp,-0.6953513357817466,6.760636798156124e-11,-0.7492047128310554,2.7593117508558055e-14,,,,
wind_group,avgmonth_tmp,-0.11447889677988615,0.011872044831589615,-0.11447964208738731,0.010631249671194944,,,,
taste_group,avgmonth_tmp,0.027106629315533898,0.43222387057533823,0.027106718520209218,0.4322238490805719,,,,
smell_group,avgmonth_tmp,0.08552780585368049,0.010252691127828744,0.08552450215752382,0.010252690418901263,,,,
rain_group,avgmonth_tmp,0.10542015841787906,0.031111563027191314,0.17865777231634686,1.8784415134223692e-4,,,,
dance_group,avgmonth_tmp,0.15844198955927716,0.033971725566356574,0.19146592407195062,0.014652873045500977,,,,
ice_group,maxmonth_pre,-0.3759898349156471,3.588076781217114e-5,-0.4209519231411836,7.3996290001396635e-6,,,,
snow_group,maxmonth_pre,-0.29762637214419857,0.015290480631251937,-0.3192868784609108,0.010341584425143546,,,,
wind_group,maxmonth_pre,-0.011007330318253293,0.7919105746565107,-0.013337353327977012,0.7472233927499092,,,,
taste_group,maxmonth_pre,0.033642636998226706,0.3348858317942201,0.03364288180261029,0.33488578155320836,,,,
smell_group,maxmonth_pre,0.069011461478098,0.03617349390870797,0.06901189415809476,0.03617349425736865,,,,
rain_group,maxmonth_pre,0.09874224778855789,0.008324437699780056,0.10264848235980246,0.00773933687969669,,,,
dance_group,maxmonth_pre,0.16200534612634246,0.009606663130169354,0.13454993308661628,0.04775408400813401,,,,
taste_group,maxmonth_wnd,-0.11617293068129295,NA,-0.10704177489523738,0.0023643102456054783,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),,,
rain_group,maxmonth_wnd,-0.11038243406115716,0.003038747014807092,-0.12729425213725137,9.379490665267566e-4,,,,
dance_group,maxmonth_wnd,-0.05456780577377109,0.4030590593652189,-0.011286044978999982,0.8625484997031765,,,,
smell_group,maxmonth_wnd,-0.03106360716258117,0.3261533815950533,-0.031063966387460926,0.32615338799527105,,,,
wind_group,maxmonth_wnd,0.12537745721788673,0.001846101973376715,0.12537763541250824,0.0016594025061224412,,,,
ice_group,maxmonth_wnd,0.3497263685173684,5.039774009529036e-6,0.36823009991438127,3.3082818237918377e-6,,,,
snow_group,maxmonth_wnd,0.48053801334394786,1.3663154224747183e-5,0.4864648905499738,2.3139781977893022e-5,,,,
snow_group,subsistence,-0.8859179855984355,0.011635681448926967,-0.5720715486411371,0.14521931930468296,,,,
ice_group,subsistence,-0.4471368104461783,0.0673518218140725,-0.3948937519486307,0.12709539481641263,,,,
wind_group,subsistence,-0.42281284441506806,3.317252233681057e-5,-0.42281292567662193,2.9920739660252756e-5,,,,
smell_group,subsistence,-0.02177723837202938,0.7818902606444889,-0.02177927920387924,0.7818906214166836,,,,
dance_group,subsistence,0.004880926781260285,0.9768181450771153,-0.08902966501874467,0.6469886820510974,,,,
taste_group,subsistence,0.021344268795504957,0.8002674031901525,0.02134390167335553,0.8002671536456614,,,,
rain_group,subsistence,0.03454391230440071,0.7284173813416351,0.06227685913481504,0.5574789868975115,,,,
snow_group,population,-0.16107639323350373,0.1713847216312055,-0.03692346784705485,0.7558531657367499,,,,
dance_group,population,-0.1497214950244305,0.020134624212703286,-0.20083374429802697,0.0015437652905404043,,,,
wind_group,population,-0.09210754118891312,0.02335681559386025,-0.09210730657830166,0.020867437392246196,,,,
smell_group,population,-0.01409370710412655,0.6499150667904767,-0.014093835297700244,0.6499152713925004,,,,
rain_group,population,-0.0022325452399897146,0.9531880516494741,0.0023184964941441893,0.9512646217507834,,,,
taste_group,population,0.014809594736949013,0.674003091274951,0.014809711756631474,0.6740029417393459,,,,
ice_group,population,0.02198692369472703,0.7875242894526957,0.046740145124030213,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
