society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B107,Warunggu,xd955,waru1264,Warrongo,Pama-Nyungan,B004,1,Hunting,1870,,
B183,Atsugewi,xd1135,atsu1245,Atsugewi,Palaihnihan,B004,1,Hunting,1860,,
B187,Achumawi,xd1108,achu1247,Achumawi,Palaihnihan,B004,1,Hunting,1860,,
B207,Agaiduka,xd1182,nort2955,Northern Shoshoni,Uto-Aztecan,B004,1,Hunting,1860,,
B212,Wadatkuht,xd992,sout2967,South Northern Paiute,Uto-Aztecan,B004,1,Hunting,1870,,
B215,Spring Valley Shoshoni,xd995,west2622,Western Shoshoni,Uto-Aztecan,B004,1,Hunting,1870,,
B216,White Knife Shoshoni,xd1178,west2622,Western Shoshoni,Uto-Aztecan,B004,1,Hunting,1860,,
B219,North Fork Mono,xd993,mono1275,Mono (USA),Uto-Aztecan,B004,1,Hunting,1860,,
B221,Tubaduka,xd1175,west2622,Western Shoshoni,Uto-Aztecan,B004,1,Hunting,1860,,
B222,Southern Ute,xd1152,utee1244,Ute,Uto-Aztecan,B004,1,Hunting,1860,,
B223,Bear Creek Northern Paiute,xd994,nort1551,North Northern Paiute,Uto-Aztecan,B004,1,Hunting,1870,,
B227,Wind River Eastern Shoshone,xd1201,nort2955,Northern Shoshoni,Uto-Aztecan,B004,1,Hunting,1860,,
B229,Bohogue,xd1180,nort2955,Northern Shoshoni,Uto-Aztecan,B004,1,Hunting,1860,,
B23,Orogens,xd915,oroq1238,Oroqen,Tungusic,B004,1,Hunting,1900,,
B232,Tukudika,xd1181,nort2955,Northern Shoshoni,Uto-Aztecan,B004,1,Hunting,1860,,
B233,Wiyambituka,xd1170,west2622,Western Shoshoni,Uto-Aztecan,B004,1,Hunting,1860,,
B234,Uncompahgre Ute,xd1199,utee1244,Ute,Uto-Aztecan,B004,1,Hunting,1860,,
B241,Comanche,xd1222,coma1245,Comanche,Uto-Aztecan,B004,1,Hunting,1870,,
B243,Kiowa,xd1216,kiow1266,Kiowa,Kiowa-Tanoan,B004,1,Hunting,1870,,
B244,Kiowa Apache,xd1219,kiow1264,Kiowa Apache,Athabaskan-Eyak-Tlingit,B004,1,Hunting,1860,,
B245,Cheyenne,xd1224,chey1247,Cheyenne,Algic,B004,1,Hunting,1860,,
B246,Arapaho,xd1228,arap1274,Arapaho,Algic,B004,1,Hunting,1860,,
B248,Crow,xd1223,crow1244,Crow,Siouan,B004,1,Hunting,1870,,
B249,Teton,xd1227,lako1247,Lakota,Siouan,B004,1,Hunting,1870,,
B250,Kutenai,xd1205,kute1249,Kutenai,,B004,1,Hunting,1880,,
B252,Bannock,xd1200,bann1248,Bannock,Uto-Aztecan,B004,1,Hunting,1860,,
B253,Gros Ventre,xd1208,gros1243,Gros Ventre,Algic,B004,1,Hunting,1870,,
B254,Bungi,xd1213,west1510,Western Ojibwa,Algic,B004,1,Hunting,1850,,
B255,Piegan,xd1217,pieg1239,Piegan,Algic,B004,1,Hunting,1850,,
B256,Blackfoot,xd1211,pieg1239,Piegan,Algic,B004,1,Hunting,1850,,
B257,Assiniboine,xd1210,assi1247,Assiniboine,Siouan,B004,1,Hunting,1870,,
B258,Plains Cree,xd1218,plai1258,Plains Cree,Algic,B004,1,Hunting,1850,,
B259,Kainai,xd1212,bloo1239,Blood,Algic,B004,1,Hunting,1850,,
B26,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,B004,1,Hunting,1900,,
B260,Sarcee,xd1226,sars1236,Sarsi,Athabaskan-Eyak-Tlingit,B004,1,Hunting,1880,,
B27,Nganasan,xd620,ngan1291,Nganasan,Uralic,B004,1,Hunting,1933,,
B320,Coeur d’Alene,xd1146,coeu1236,Coeur d'Alene,Salishan,B004,1,Hunting,1860,,
B328,Katikitegon,xd1054,uppe1274,Upper Michigan-Wisconsin Chippewa,Algic,B004,1,Hunting,1800,,
B329,Mi'kmaq,xd1058,mikm1235,Mi'kmaq,Algic,B004,1,Hunting,1700,,
B330,Bitterroot Salish,xd1144,kali1309,Kalispel,Salishan,B004,1,Hunting,1860,,
B331,Rainy River Ojibwe,xd1053,rain1239,Rainy River Ojibwa,Algic,B004,1,Hunting,1880,,
B332,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,B004,1,Hunting,1870,,
B334,Pekangekum,xd1050,lacs1238,Lac Seul Ojibwa,Algic,B004,1,Hunting,1940,,
B335,Round Lake Ojibwa,xd1003,seve1241,Severn River Ojibwa,Algic,B004,1,Hunting,1900,,
B336,Alkatcho,xd1069,sout2958,Southern Carrier,Athabaskan-Eyak-Tlingit,B004,1,Hunting,1865,,
B337,Nipigon,xd1051,cent2136,Central Ojibwa,Algic,B004,1,Hunting,1800,,
B338,Mistissini Cree,xd1062,sout2978,Southern East Cree,Algic,B004,1,Hunting,1880,,
B339,North Albany Ojibwa,xd1004,wini1244,Winisk River Ojibwa,Algic,B004,1,Hunting,1850,,
B340,Waswanipi Cree,xd1005,sout2978,Southern East Cree,Algic,B004,1,Hunting,1900,,
B341,Wegamon Ojibwa,xd1006,seve1241,Severn River Ojibwa,Algic,B004,1,Hunting,1890,,
B342,Montagnais,xd1048,mont1268,Montagnais,Algic,B004,1,Hunting,1880,,
B343,Sekani,xd1044,seka1250,Sekani,Athabaskan-Eyak-Tlingit,B004,1,Hunting,1880,,
B344,Beaver,xd1045,beav1236,Beaver,Athabaskan-Eyak-Tlingit,B004,1,Hunting,1850,,
B345,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,B004,1,Hunting,1860,,
B346,Kaska,xd1056,kask1239,Kaska,Athabaskan-Eyak-Tlingit,B004,1,Hunting,1920,,
B347,Tahltan,xd1043,tahl1239,Tahltan,Athabaskan-Eyak-Tlingit,B004,1,Hunting,1870,,
B349,Dakelh,xd1035,carr1249,Carrier,Athabaskan-Eyak-Tlingit,B004,1,Hunting,1880,,
B350,Mountain Dene,xd1007,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,B004,1,Hunting,1800,,
B351,Hän,xd1008,hann1241,Han,Athabaskan-Eyak-Tlingit,B004,1,Hunting,1880,,
