langname,level,gcode,gcode_rule,ref_name,concept,domain,basic,combo_name,word_list,source,sign,reference,url,scholarly,page,comments
Marshallese,single,mars1254,NA,NA,fish,noun,0,fishcombo,fish,wordnet,positive,"Abo, Takachi, Bryon Bender, Alfred Capelle, and Tony Debrum. 1976. Marshallese–English Dictionary. Honolulu: University of Hawai’i Press.",NA,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Iraqw,single,iraq1241,NA,NA,togetherness,noun,1,togethernesscombo,togetherness,wordnet,positive,"Aikhenvald, A. Y., Dixon, R. M. W., & Jarkey, N. (Eds.). (2021). The integration of language and society: A cross-linguistic typology. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=4ZBOEAAAQBAJ&oi=fnd&pg=PP1&dq=the+integration+of+language+and+society+across+linguistic+perspective&ots=dwLW8OaJG6&sig=lTlkvIYY2V64CgWgi6X15PlYc4Y,1,13,NA
Mursi,single,murs1242,NA,NA,color,adjective,0,colorcombo,NA,NA,positive,"Aikhenvald, A. Y., Dixon, R. M. W., & Jarkey, N. (Eds.). (2021). The integration of language and society: A cross-linguistic typology. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=4ZBOEAAAQBAJ&oi=fnd&pg=PP1&dq=the+integration+of+language+and+society+across+linguistic+perspective&ots=dwLW8OaJG6&sig=lTlkvIYY2V64CgWgi6X15PlYc4Y,1,4,NA
Nuer,single,nuer1246,NA,NA,color,adjective,0,colorcombo,NA,NA,positive,"Aikhenvald, A. Y., Dixon, R. M. W., & Jarkey, N. (Eds.). (2021). The integration of language and society: A cross-linguistic typology. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=4ZBOEAAAQBAJ&oi=fnd&pg=PP1&dq=the+integration+of+language+and+society+across+linguistic+perspective&ots=dwLW8OaJG6&sig=lTlkvIYY2V64CgWgi6X15PlYc4Y,1,4,NA
Titan,single,tita1241,NA,NA,fish,noun,0,fishcombo,fish,wordnet,positive,"Akimichi, Tomoya, and Osamu Sakiyama. 1991. Manus fish names. Bulletin of the National Museum of Ethnology, Tokyo 16(1):1–29.",https://minpaku.repo.nii.ac.jp/?action=repository_action_common_download&item_id=4277&item_no=1&attribute_id=18&file_no=1,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Satawalese,single,sata1237,NA,NA,fish,noun,0,fishcombo,fish,wordnet,positive,"Akimichi, Tomoya. 1980. Bad fish or good fish: The ethnoichthyology of the Satawalese (Central Carolines, Micronesia). Museum of Ethnology, Osaka. Bulletin of the National Museum of Ethnology 6(1):66–133.",NA,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Papantla Totonac,single,papa1238,NA,NA,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"Andrade, H. M. E. (2010). El campo semántico de los olores en totonaco. Instituto Nacional de Antropología e Historia. Levy, P. (1987). Fonologıa del totonaco de Papantla. Universidad Nacional Autónoma de México, Veracruz, Mexico.",NA,1,NA,"Quoted in o’Meara, C., Kung, S. S., & Majid, A. (2019). The challenge of olfactory ideophones: Reconsidering ineffability from the Totonac-Tepehua perspective. International Journal of American Linguistics, 85(2), 173-212."
Sierra Totonac,single,papa1238,NA,NA,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"Aschmann, H. P. (1973). Diccionario totonaco de Papantla, Veracruz: totonaco-español, español-totonaco (Vol. 16). Instituto Linguistico de Verano. Aschmann, H. (1946). Totonac categories of smell. Tlalocan, 2(2), 187-189. Aschmann, H. P. (1962). Vocabulario totonaco de la Sierra. Serie de vocabularios indígenas “Mariano Silva y Aceves, 7.. ",NA,1,NA,"Quoted in o’Meara, C., Kung, S. S., & Majid, A. (2019). The challenge of olfactory ideophones: Reconsidering ineffability from the Totonac-Tepehua perspective. International Journal of American Linguistics, 85(2), 173-212."
Alemannic,single,swis1247,NA,NA,mountain,noun,1,mountaincombo,"mountain, mount",wordnet,positive,"Basilius, H. (1952). Neo-humboldtian ethnolinguistics. Word, 8(2), 95-105.",https://www.tandfonline.com/doi/pdf/10.1080/00437956.1952.11659424,1,NA,NA
Upper Necaxa Totonac,single,uppe1275,NA,NA,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"Beck, D. (2011). Upper Necaxa Totonac Dictionary. De Gruyter Mouton.",https://www.degruyter.com/document/doi/10.1515/9783110238235.460b/html,1,NA,"Quoted in o’Meara, C., Kung, S. S., & Majid, A. (2019). The challenge of olfactory ideophones: Reconsidering ineffability from the Totonac-Tepehua perspective. International Journal of American Linguistics, 85(2), 173-212."
