id,word,line,classification,review_flag,review_note
hawaii.bikol_mintz_cent2087,rain,212,related,NA,NA
hawaii.bikol_mintz_cent2087,rain,3990,example,NA,NA
hawaii.bikol_mintz_cent2087,rain,6007,example,NA,NA
hawaii.bikol_mintz_cent2087,rain,6729,example,NA,NA
hawaii.bikol_mintz_cent2087,rain,7644,example,NA,NA
hawaii.bikol_mintz_cent2087,rain,12117,unrelated,NA,NA
hawaii.bikol_mintz_cent2087,rain,12687,related,NA,NA
hawaii.bikol_mintz_cent2087,rain,14826,related,NA,NA
hawaii.bikol_mintz_cent2087,rain,4772,related,NA,NA
hawaii.bikol_mintz_cent2087,rain,11010,related,NA,NA
hawaii.bikol_mintz_cent2087,smell,461,related,NA,NA
hawaii.bikol_mintz_cent2087,smell,505,unrelated,NA,NA
hawaii.bikol_mintz_cent2087,smell,597,related,NA,NA
hawaii.bikol_mintz_cent2087,smell,4369,related,NA,NA
hawaii.bikol_mintz_cent2087,smell,13566,unrelated,NA,NA
hawaii.bikol_mintz_cent2087,taste,6875,related,NA,NA
hawaii.bikol_mintz_cent2087,taste,8457,related,NA,NA
hawaii.bikol_mintz_cent2087,taste,10663,related,NA,NA
hawaii.bikol_mintz_cent2087,taste,12076,related,NA,NA
hawaii.bikol_mintz_cent2087,taste,2653,related,1,1
hawaii.bikol_mintz_cent2087,taste,4370,related,NA,NA
hawaii.bikol_mintz_cent2087,taste,7121,related,NA,NA
hawaii.bikol_mintz_cent2087,taste,7122,related,NA,NA
hawaii.bikol_mintz_cent2087,taste,9612,related,NA,NA
hawaii.bikol_mintz_cent2087,taste,11123,related,NA,NA
hawaii.bikol_mintz_cent2087,taste,11469,related,NA,NA
hawaii.bikol_mintz_cent2087,taste,13565,related,NA,NA
hawaii.bikol_mintz_cent2087,rain,10315,related,NA,NA
hawaii.bikol_mintz_cent2087,rain,13792,related,NA,NA
hawaii.bikol_mintz_cent2087,rain,14474,related,NA,NA
hawaii.carolinian_jackson_caro1242,rain,1859,example,NA,NA
hawaii.carolinian_jackson_caro1242,rain,14341,example,NA,NA
hawaii.carolinian_jackson_caro1242,rain,14354,example,NA,NA
hawaii.carolinian_jackson_caro1242,rain,15963,example,NA,NA
hawaii.carolinian_jackson_caro1242,rain,16671,example,NA,NA
hawaii.carolinian_jackson_caro1242,rain,16900,unrelated,NA,NA
hawaii.carolinian_jackson_caro1242,rain,17486,related,NA,NA
hawaii.carolinian_jackson_caro1242,rain,19041,related,NA,NA
hawaii.carolinian_jackson_caro1242,rain,21168,example,NA,NA
hawaii.carolinian_jackson_caro1242,rain,22742,example,NA,NA
hawaii.carolinian_jackson_caro1242,rain,10665,related,NA,NA
hawaii.carolinian_jackson_caro1242,rain,14360,related,NA,NA
hawaii.carolinian_jackson_caro1242,rain,17271,related,NA,NA
hawaii.carolinian_jackson_caro1242,rain,21500,related,NA,NA
hawaii.carolinian_jackson_caro1242,rain,21571,related,NA,NA
hawaii.carolinian_jackson_caro1242,rain,21755,related,NA,NA
