glottocode,language,iso,population,year,source,reference,comment
area1240,'Are'are,alu,17900,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
abua1244,Abua,abn,25000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
adny1235,Adnyamathanha,adt,130,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
adyg1241,Adyghe,ady,475300,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
afri1274,Afrikaans,afr,4849900,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
agus1235,Agusan Manobo,msm,60000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
ahte1237,Ahtena,aht,35,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
akan1250,Akan,aka,8300000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
akaw1239,Akawaio-Ingariko,ake,5350,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
akha1245,Akha,ahk,563960,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
alab1237,Alabama,akz,100,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
aleu1260,Aleut,ale,490,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
amha1245,Amharic,amh,17400000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
anei1239,Aneityum,aty,900,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
anma1239,Anmatyerre,amx,1220,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
anti1245,Antigua and Barbuda Creole English,aig,125270,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
anuf1239,Anufo,cko,137600,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
aona1235,Ao Naga,njo,232000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
arap1274,Arapaho,arp,1040,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
arik1262,Arikara,ari,20,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
